municipio,region,year,total_population,policy_package,predicted_target,policy_intensity,baseline_predicted_target,delta_vs_baseline_target_units,approx_retained_residents
Luquillo,East,2024,17532.0,family_demography_support,-1.2725905321702067,1.1377940840705243,-1.2925330035264722,0.01994247135626548,3.496314078180464
Manati,North,2024,38943.0,family_demography_support,-1.2743341783537685,1.1980964968743868,-1.2953335888846096,0.02099941053084109,8.177800443025445
Maricao,West,2024,4988.0,family_demography_support,-2.659276381547878,1.4799080133398,-2.685215190317521,0.025938808769643273,1.2938277814298065
Maunabo,East,2024,10399.0,family_demography_support,-1.4834357030267147,1.148214866985896,-1.5035608226914126,0.020125119664697877,2.092811193931932
Mayaguez,West,2024,70828.0,family_demography_support,-1.9555137830606686,1.2006996183686944,-1.9765588193128631,0.02104503625219456,14.905778276704362
Moca,West,2024,37424.0,family_demography_support,-0.8457992021940395,1.1971232623647432,-0.8667815545404485,0.020982352346408994,7.8524355421201015
Morovis,Central Mountains,2024,28397.0,family_demography_support,-1.2222324920006582,1.2754121936773901,-1.2445870388346936,0.02235454683403537,6.348020664461024
Naguabo,East,2024,23054.0,family_demography_support,-1.301910637321684,1.3769899091041866,-1.3260455684174184,0.02413493109573439,5.564067014810607
Naranjito,Central Mountains,2024,29310.0,family_demography_support,-0.6578912306161919,1.1822849478780926,-0.6786135072021733,0.02072227658598136,6.073699267351135
Orocovis,Central Mountains,2024,21309.0,family_demography_support,-1.0071140621815586,1.1834984207508463,-1.0278576076846007,0.020743545503042027,4.420242111243226
Patillas,South,2024,15563.0,family_demography_support,-1.7929486542067052,1.248293817020665,-1.8148278888051819,0.021879234598476627,3.4050652805609176
Penuelas,South,2024,19853.0,family_demography_support,-1.7982568637848828,1.227105485453943,-1.8197647238954164,0.021507860110533628,4.269955467744241
Ponce,South,2024,132760.0,family_demography_support,-2.0337071699428972,1.209552795787625,-2.054907378593648,0.021200208650750785,28.14539700473674
Quebradillas,North,2024,23409.0,family_demography_support,-1.1002852570856319,1.1419724818763681,-1.1203009645218918,0.02001570743625991,4.685476953754082
Rincon,West,2024,15378.0,family_demography_support,-0.30912793262692007,1.2349916553379983,-0.3307740160937047,0.02164608346678465,3.3287347155221436
Rio Grande,East,2024,46051.0,family_demography_support,-1.558910348680924,1.2326670212866602,-1.5805156875625228,0.02160533888159888,9.9494746083651
Sabana Grande,West,2024,22407.0,family_demography_support,-1.2834876465429161,1.178492200617665,-1.3041434464661499,0.020655799923233742,4.6283450887989845
Salinas,South,2024,25079.0,family_demography_support,-1.792461314689747,1.3305167197536125,-1.815781695718441,0.023320381028693937,5.848518358186152
San German,West,2024,31305.0,family_demography_support,-1.3753899247086954,1.197699849254583,-1.3963823830731406,0.020992458364445188,6.571689090989566
San Juan,Metro,2024,336160.0,family_demography_support,-1.46723932582868,1.2330070697474935,-1.4888506248455833,0.021611299016903285,72.64854277522208
San Lorenzo,East,2024,37431.0,family_demography_support,-1.0180556878044618,1.1639209917179105,-1.0384560936100977,0.020400405805635957,7.636075897107594
San Sebastian,West,2024,39088.0,family_demography_support,-1.001465089114529,1.2655827691355928,-1.0236473525625656,0.022182263448036643,8.670603136568563
Santa Isabel,South,2024,19903.0,family_demography_support,-1.4483738759939784,1.2751383720187492,-1.470723623470502,0.022349747476523518,4.448270240252476
Toa Alta,Metro,2024,66320.0,family_demography_support,-1.0759160906501628,1.3035364487778223,-1.09876358006459,0.02284748941442727,15.152454979648166
Toa Baja,Metro,2024,73039.0,family_demography_support,-1.8651297484699565,1.1950876976909046,-1.8860764228402098,0.020946674370253326,15.299241493289326
Trujillo Alto,Metro,2024,67088.0,family_demography_support,-1.12579476532477,1.1956171766113455,-1.1467507200370048,0.02095595471223488,14.058930897344137
Utuado,Central Mountains,2024,27621.0,family_demography_support,-1.6543295964322215,1.1727015041412774,-1.6748839010144003,0.020554304582178773,5.677304468643599
Vega Alta,North,2024,34921.0,family_demography_support,-1.262210259623035,1.1980977442609064,-1.2832096920172082,0.020999432394173345,7.333211786369274
Vega Baja,North,2024,53892.0,family_demography_support,-1.1203810569084396,1.2383216961620644,-1.1420855070381195,0.02170445012967992,11.696962263887102
Vieques,East,2024,8078.0,family_demography_support,-1.4385690778954747,1.2127825306167188,-1.4598258951146998,0.02125681721922512,1.7171256949690052
Villalba,South,2024,21556.0,family_demography_support,-1.6956924647278857,1.1764879554435266,-1.7163131356215915,0.020620670893705784,4.444991817847218
Yabucoa,East,2024,29400.0,family_demography_support,-2.072245311608388,1.3693694566945316,-2.096246676660821,0.024001365052432888,7.056401325415269
Yauco,South,2024,32993.0,family_demography_support,-2.077251119338677,1.2196585685358687,-2.09862845501653,0.021377335677852827,7.053024360193984
Adjuntas,Central Mountains,2024,17960.0,retention_bundle,-0.4460153649421583,1.0833285166085018,-0.9024586516057509,0.4564432866635926,81.97721428478123
Aguada,West,2024,37758.0,retention_bundle,-0.7502922284342775,0.9229308152244037,-1.1391544878557884,0.388862259421511,146.82661191237412
Aguadilla,West,2024,54137.0,retention_bundle,-0.9971036078015814,0.8994303472178078,-1.3760643177940752,0.37896070999249387,205.1579595686364
Aguas Buenas,Central Mountains,2024,23614.0,retention_bundle,-1.3488555566110247,0.9155832355204769,-1.7346220298719508,0.38576647326092606,91.09489499583508
Aibonito,Central Mountains,2024,24636.0,retention_bundle,-0.3796276480404377,0.916128394129091,-0.7656238152337702,0.3859961671933325,95.0940157497494
Anasco,West,2024,25094.0,retention_bundle,-1.1015957937615122,0.8915654664247294,-1.477242760984962,0.3756469672234499,94.26484995505253
Arecibo,North,2024,86467.0,retention_bundle,-0.8906066632533778,0.9099138310100605,-1.273984422852209,0.38337775959883125,331.4952473923214
