municipio,region,year,total_population,policy_package,predicted_target,policy_intensity,baseline_predicted_target,delta_vs_baseline_target_units,approx_retained_residents
Arecibo,North,2024,86467.0,recovery_rebound_bundle,-0.27917451738535015,0.9271205204363174,-1.273984422852209,0.9948099054668589,860.182280960029
Arroyo,South,2024,15341.0,recovery_rebound_bundle,-0.9597328170825832,0.9970187808370674,-2.0295442787536384,1.0698114616710552,164.11977633495658
Barceloneta,North,2024,22494.0,recovery_rebound_bundle,0.11798002540874752,1.0683209140075662,-1.0283393624654158,1.1463193878741633,257.8530831084143
Barranquitas,Central Mountains,2024,29054.0,recovery_rebound_bundle,0.33600382227499326,0.9468057234607383,-0.6799285095950736,1.0159323318700668,295.1689797015292
Bayamon,Metro,2024,182469.0,recovery_rebound_bundle,-0.38445038196512527,0.8866830139100115,-1.3358704247787252,0.9514200428135999,1736.0466379215477
Cabo Rojo,West,2024,46876.0,recovery_rebound_bundle,-0.024869183536862627,0.8890497275191318,-0.9788287345264305,0.9539595509895679,447.17807912186987
Caguas,East,2024,125586.0,recovery_rebound_bundle,-0.2925977475663415,0.9185860457900795,-1.278250073485681,0.9856523259193395,1237.8413300290617
Camuy,North,2024,32734.0,recovery_rebound_bundle,0.03567798608100614,0.8909904982816803,-0.9203640320056288,0.9560420180866349,312.9507942004791
Canovanas,East,2024,41816.0,recovery_rebound_bundle,-0.28912064725059916,0.895203857903837,-1.2496836437807302,0.960562996530131,401.6690226290396
Carolina,Metro,2024,152204.0,recovery_rebound_bundle,-0.5064415981850401,0.8493482957714427,-1.4178011023703043,0.9113595041852642,1387.1256197501395
Catano,Metro,2024,22467.0,recovery_rebound_bundle,-0.8955105668654624,0.9948975894469997,-1.9630459682404542,1.0675354013749918,239.8431786269194
Cayey,Central Mountains,2024,40917.0,recovery_rebound_bundle,-0.515818557531675,0.8812927270661037,-1.4614547668226348,0.9456362092909597,386.925967755582
Ceiba,East,2024,10995.0,recovery_rebound_bundle,-0.9428947087365893,0.8764707010892901,-1.8833568342914937,0.9404621255549044,103.40381070476174
Ciales,Central Mountains,2024,16805.0,recovery_rebound_bundle,-0.13674292461791349,0.9699684134202544,-1.1775290623320578,1.0407861377141443,174.90411044286193
Cidra,Central Mountains,2024,39643.0,recovery_rebound_bundle,-0.16108010460613875,0.8549907556557943,-1.0784940265940748,0.917413921987936,363.6904010936775
Coamo,South,2024,33998.0,recovery_rebound_bundle,-0.5781503323779864,0.9028341435162079,-1.5469007042723855,0.968750371894399,329.35575143665784
Comerio,Central Mountains,2024,18711.0,recovery_rebound_bundle,0.10916795525920753,1.1324438125812977,-1.1059559658577043,1.2151239211169118,227.36183688018536
Corozal,Central Mountains,2024,34444.0,recovery_rebound_bundle,0.08121299358357614,0.9436707232227054,-0.9313554506131083,1.0125684441966845,348.769074919106
Culebra,East,2024,1387.0,recovery_rebound_bundle,2.7175409701539888,1.1433233804961624,1.4907431601625067,1.226797809991482,17.015685624581856
Dorado,North,2024,35810.0,recovery_rebound_bundle,0.1419754408417877,0.9133718666105259,-0.838082016899833,0.9800574577416207,350.95857561727433
Fajardo,East,2024,31489.0,recovery_rebound_bundle,-0.5421158159146982,0.9360025578107679,-1.5464562393304762,1.004340423415778,316.25675592939433
Florida,North,2024,11532.0,recovery_rebound_bundle,-0.12050869820014465,0.9972263806840941,-1.1905429166537786,1.070034218453634,123.39634607207306
Guanica,West,2024,12855.0,recovery_rebound_bundle,-2.059293202262139,1.2740258558006063,-3.4263361198052333,1.3670429175430945,175.73336705016482
Guayama,South,2024,35298.0,recovery_rebound_bundle,-1.1502607094648807,0.9317050058248414,-2.1499898151602332,0.9997291056953526,352.88437972834555
Guayanilla,South,2024,17141.0,recovery_rebound_bundle,-0.8213581671974188,1.202333878879888,-2.1114748521621767,1.2901166849647578,221.13890096980913
Guaynabo,Metro,2024,89378.0,recovery_rebound_bundle,-0.18476405686880448,0.7445877407862347,-0.9837144022615913,0.7989503453927869,714.0858397051651
Gurabo,East,2024,40228.0,recovery_rebound_bundle,-0.26217676403051837,0.827267570918153,-1.1498434221189198,0.8876666580884014,357.09054321580214
Hatillo,North,2024,38157.0,recovery_rebound_bundle,-0.13183437482861926,0.8769489799529188,-1.0728096985499167,0.9409753237212974,359.04795427233546
Hormigueros,West,2024,15441.0,recovery_rebound_bundle,-0.3102488739254603,0.8279268125248813,-1.1986229050748753,0.888374031149415,137.1738341497812
Humacao,East,2024,50100.0,recovery_rebound_bundle,-0.387456395168856,0.9373893809995248,-1.3932848942068388,1.0058284990379827,503.92007801802936
Isabela,West,2024,42890.0,recovery_rebound_bundle,0.05035362165492052,0.8230106999797848,-0.8327453698977545,0.883098991552675,378.76115747694234
Jayuya,Central Mountains,2024,14566.0,recovery_rebound_bundle,-0.3442859942142369,0.942232332309858,-1.3553110300875235,1.0110250358732866,147.26590672530293
Juana Diaz,South,2024,46156.0,recovery_rebound_bundle,-0.03567324447449405,0.9622341855289513,-1.0681604756842442,1.0324872312097502,476.55480643717226
Juncos,East,2024,36829.0,recovery_rebound_bundle,-0.08258873885145745,0.8361681217288377,-0.9798057799972995,0.897217041145842,330.4360640836021
Lajas,West,2024,23035.0,recovery_rebound_bundle,-0.10612450631227976,1.0332533268325386,-1.2148160105256196,1.1086915042133398,255.38708799554283
Lares,Central Mountains,2024,27855.0,recovery_rebound_bundle,0.056814531840377436,1.11806744223947,-1.142883395238585,1.1996979270789625,334.175857587845
Las Marias,West,2024,8744.0,recovery_rebound_bundle,-0.04862806256321295,1.195623088695923,-1.3315440002665724,1.2829159377033594,112.17816959278176
Las Piedras,East,2024,34951.0,recovery_rebound_bundle,0.013078144349785381,0.9755194592167817,-1.0336643229055134,1.0467424672552987,365.8469597303994
Loiza,East,2024,22768.0,recovery_rebound_bundle,-1.4194202512378866,0.8422003426928681,-2.323109927855284,0.9036896766173972,205.752065572249
Luquillo,East,2024,17532.0,recovery_rebound_bundle,-0.18764438809408523,1.029709196233936,-1.2925330035264722,1.104888615432387,193.70907205760608
Manati,North,2024,38943.0,recovery_rebound_bundle,-0.21993592510120163,1.0022248836122871,-1.2953335888846096,1.075397663783408,418.7921122071725
Maricao,West,2024,4988.0,recovery_rebound_bundle,-1.4406715613692505,1.1598617289950819,-2.685215190317521,1.2445436289482708,62.07783621193975
Maunabo,East,2024,10399.0,recovery_rebound_bundle,-0.10295775525684392,1.3053024881122868,-1.5035608226914126,1.4006030674345686,145.64871298252078
Mayaguez,West,2024,70828.0,recovery_rebound_bundle,-0.8055537907221453,1.0913268812206642,-1.9765588193128631,1.1710050285907179,829.3994416502337
Moca,West,2024,37424.0,recovery_rebound_bundle,0.09241108427053235,0.8939267427939248,-0.8667815545404485,0.9591926388109808,358.9682531486215
Morovis,Central Mountains,2024,28397.0,recovery_rebound_bundle,-0.21586679018416288,0.9587235180018338,-1.2445870388346936,1.0287202486505307,292.1256890092912
Naguabo,East,2024,23054.0,recovery_rebound_bundle,-0.19337176959822155,1.055603805385328,-1.3260455684174184,1.1326737988191968,261.12661757977764
Naranjito,Central Mountains,2024,29310.0,recovery_rebound_bundle,0.388572444757618,0.9945719174548872,-0.6786135072021733,1.0671859519597913,312.7922025194148
Orocovis,Central Mountains,2024,21309.0,recovery_rebound_bundle,0.019965950570040913,0.9765269900469852,-1.0278576076846007,1.0478235582546416,223.2807220284816
Patillas,South,2024,15563.0,recovery_rebound_bundle,-0.862173469151406,0.8878334006242867,-1.8148278888051819,0.9526544196537758,148.26160733071714
Penuelas,South,2024,19853.0,recovery_rebound_bundle,-0.6567655457809287,1.0838657690832914,-1.8197647238954164,1.1629991781144877,230.89022683106924
Ponce,South,2024,132760.0,recovery_rebound_bundle,-1.0104451508666974,0.9733943729599761,-2.054907378593648,1.0444622277269506,1386.6280535302997
Quebradillas,North,2024,23409.0,recovery_rebound_bundle,-0.22541575013972381,0.8339949583628272,-1.1203009645218918,0.894885214382168,209.48367983472167
Rincon,West,2024,15378.0,recovery_rebound_bundle,0.70282638578983,0.9632716132513155,-0.3307740160937047,1.0336004018835347,158.94706980164997
Rio Grande,East,2024,46051.0,recovery_rebound_bundle,-0.7582148967405746,0.7663493627802823,-1.5805156875625228,0.8223007908219482,378.67773718141535
Sabana Grande,West,2024,22407.0,recovery_rebound_bundle,-0.2759958181822102,0.9581898601749768,-1.3041434464661499,1.0281476282839397,230.37703906958237
Salinas,South,2024,25079.0,recovery_rebound_bundle,-0.6897289414688821,1.0494332734540497,-1.815781695718441,1.1260527542495589,282.4027702382469
San German,West,2024,31305.0,recovery_rebound_bundle,-0.2648399011614857,1.0545494661449017,-1.3963823830731406,1.1315424819116549,354.22937396244356
San Juan,Metro,2024,336160.0,recovery_rebound_bundle,-0.47700980026142203,0.9429926126911008,-1.4888506248455833,1.0118408245841612,3401.404115922117
San Lorenzo,East,2024,37431.0,recovery_rebound_bundle,-0.030685073093305038,0.939199728398054,-1.0384560936100977,1.0077710205167927,377.2187706896406
San Sebastian,West,2024,39088.0,recovery_rebound_bundle,-0.04810865822000765,0.9091605713155696,-1.0236473525625656,0.9755386943425579,381.318564844619
Santa Isabel,South,2024,19903.0,recovery_rebound_bundle,-0.4306849937390398,0.9692717677735577,-1.470723623470502,1.040038629731462,206.99888847545293
Toa Alta,Metro,2024,66320.0,recovery_rebound_bundle,-0.21350072006388454,0.825027333339253,-1.09876358006459,0.8852628600007055,587.1063287524679
Toa Baja,Metro,2024,73039.0,recovery_rebound_bundle,-0.8468729718039302,0.9684934167516387,-1.8860764228402098,1.0392034510362795,759.0238086023882
Trujillo Alto,Metro,2024,67088.0,recovery_rebound_bundle,-0.27407387616563894,0.813297701617727,-1.1467507200370048,0.8726768438713659,585.4614410164219
Utuado,Central Mountains,2024,27621.0,recovery_rebound_bundle,-0.6792392745521028,0.927898444901542,-1.6748839010144003,0.9956446264622976,275.0070022751512
Vega Alta,North,2024,34921.0,recovery_rebound_bundle,-0.22795771501831585,0.9834499603695978,-1.2832096920172082,1.0552519769988924,368.5045428877832
Vega Baja,North,2024,53892.0,recovery_rebound_bundle,-0.028787856931122624,1.0375460588958856,-1.1420855070381195,1.1132976501069969,599.9783695956628
Vieques,East,2024,8078.0,recovery_rebound_bundle,-0.1902565819738573,1.1831846022650285,-1.4598258951146998,1.2695693131408425,102.55580911551726
Villalba,South,2024,21556.0,recovery_rebound_bundle,-0.7727604599166535,0.879350962381209,-1.7163131356215915,0.943552675704938,203.39221477495641
Yabucoa,East,2024,29400.0,recovery_rebound_bundle,-1.0813392175007248,0.9458505856851418,-2.096246676660821,1.0149074591600962,298.3827929930683
Yauco,South,2024,32993.0,recovery_rebound_bundle,-0.9837093752071293,1.0390571624155456,-2.09862845501653,1.1149190798094006,367.8452520015155
