feature,mean_abs_shap
seismic_3yr_sum,0.13770627160994173
region_South,0.10633093839032863
region_East,0.1029224004208552
lag_pop_change_1,0.09228957544764446
wind_3yr_sum,0.029415988224322016
lag_pop_change_2,0.0242229797317745
seismic_3yr_x_svi,0.015914809259768875
region_North,0.015087246141690706
establishment_growth,0.013630879043798684
region_Metro,0.012992578031813763
income_growth,0.012739711459078734
wind_3yr_x_svi,0.010714175175870732
lag_total_crime_rate,0.010144738561672676
region_Central Mountains,0.009602394936717586
svi_pca_1,0.008587673411296558
region_West,0.007819358179420186
