year,municipio,geoid,total_population,total_population_moe,total_population_16plus,total_population_16plus_moe,unemployment_rate_pct,labor_force_participation_pct,median_income_nominal,median_income_real,cpi,total_housing_units,pct_no_vehicle,pct_below_poverty,pct_no_hs_diploma,pct_aged_65_plus,pct_aged_17_under,pct_disability,pct_single_parent,pct_lim_english,pct_multi_unit,pct_mobile_homes,pct_crowding,pct_group_quarters,R_unemployment_rate_pct,R_pct_below_poverty,R_pct_no_hs_diploma,R_pct_aged_65_plus,R_pct_aged_17_under,R_pct_disability,R_pct_single_parent,R_pct_no_vehicle,R_pct_crowding,R_income,SVI_SUM,OVERALL_SVI,Evacuation_Crisis_Index,Crisis_Score,housing_per_100,Geography,Isolation_Index
2012,Adjuntas Municipio,72001,19458.0,0.0,15081.0,80.0,23.1,39.6,13095.0,18627.74,229.59,7037.0,45.2,56.2,20.1,51.8,69.2,21.9,2.83,7.3,1.9,0.0,1.1,0.37,0.7115384615384616,0.7692307692307693,0.5064102564102564,0.28846153846153844,0.21794871794871795,0.6025641025641025,0.36538461538461536,0.7307692307692307,0.6858974358974359,0.9615384615384616,5.83974358974359,0.7564102564102564,512.75784,58.86116324640037,36.165073491622984,Mountain (Isolated),39.63333333333333
2012,Aguada Municipio,72003,41876.0,0.0,33277.0,134.0,30.7,48.7,15106.0,21488.4,229.59,16280.0,41.3,55.8,19.2,51.4,71.4,28.9,2.32,15.1,1.3,0.0,0.6,0.23,0.9615384615384616,0.7564102564102564,0.3525641025641026,0.1858974358974359,0.75,0.8717948717948718,0.17307692307692307,0.2564102564102564,0.21153846153846154,0.7051282051282052,5.2243589743589745,0.6025641025641025,613.4949799999999,70.42511172257674,38.87668354188556,Other,40.53333333333333
2012,Aguadilla Municipio,72005,60714.0,0.0,48215.0,181.0,24.5,40.1,15302.0,21767.21,229.59,25553.0,43.5,50.3,28.8,52.4,71.9,21.9,2.69,20.1,6.8,0.2,0.6,2.44,0.8012820512820513,0.5,0.8717948717948718,0.4807692307692308,0.8333333333333334,0.6025641025641025,0.2692307692307692,0.5641025641025641,0.21153846153846154,0.6923076923076923,5.8269230769230775,0.7435897435897436,499.18859999999995,57.3035054429242,42.08749217643377,Other,39.266666666666666
2012,Aguas Buenas Municipio,72007,28573.0,0.0,22384.0,104.0,13.2,33.1,13994.0,19906.57,229.59,10250.0,52.7,57.3,15.8,51.8,70.5,22.8,1.68,6.0,1.5,0.4,0.5,0.7,0.25,0.8333333333333334,0.22435897435897437,0.28846153846153844,0.5,0.6538461538461539,0.0641025641025641,0.9743589743589743,0.1346153846153846,0.8846153846153846,4.8076923076923075,0.4358974358974359,622.40808,71.44827586206898,35.873026983515906,Other,42.43333333333333
2012,Aibonito Municipio,72009,25823.0,0.0,20332.0,86.0,10.0,36.9,16235.0,23094.41,229.59,9556.0,42.4,48.9,16.4,52.3,71.1,31.5,3.97,13.3,1.7,0.0,0.7,0.22,0.10256410256410256,0.41025641025641024,0.25,0.4358974358974359,0.6410256410256411,0.9487179487179487,0.6666666666666666,0.3717948717948718,0.358974358974359,0.5512820512820513,4.737179487179486,0.3974358974358974,698.5187999999999,80.1852763820826,37.005770049955466,Other,42.06666666666666
2012,Arecibo Municipio,72013,96176.0,0.0,77254.0,180.0,15.0,38.2,17077.0,24292.17,229.59,40017.0,43.0,47.1,21.3,52.9,72.8,13.7,2.55,14.0,3.0999999999999996,0.2,0.8,2.02,0.358974358974359,0.3141025641025641,0.5897435897435898,0.6602564102564102,0.9230769230769231,0.10897435897435898,0.24358974358974358,0.46794871794871795,0.48717948717948717,0.4358974358974359,4.589743589743589,0.32051282051282054,311.6338999999999,35.77348297787588,41.60809349525869,Other,36.53333333333333
2012,Arroyo Municipio,72015,19542.0,0.0,15013.0,104.0,28.5,43.1,16114.0,22922.29,229.59,8053.0,51.8,53.2,23.1,54.1,68.7,25.0,3.86,14.1,1.6,0.1,0.4,0.18,0.9102564102564102,0.6153846153846154,0.6410256410256411,0.9294871794871795,0.1858974358974359,0.782051282051282,0.6346153846153846,0.9230769230769231,0.09615384615384616,0.5769230769230769,6.294871794871795,0.8717948717948718,700.595,80.42361022624611,41.208678743219735,Other,43.633333333333326
2012,Añasco Municipio,72011,29236.0,0.0,23220.0,135.0,9.3,38.7,16771.0,23856.88,229.59,11457.0,44.5,49.5,23.8,52.3,71.8,11.2,2.83,10.4,2.0999999999999996,0.4,0.7,0.35,0.08974358974358974,0.44871794871794873,0.7115384615384616,0.4358974358974359,0.8076923076923077,0.0641025641025641,0.36538461538461536,0.6474358974358975,0.358974358974359,0.46153846153846156,4.3910256410256405,0.2692307692307692,260.66319999999996,29.92238825159476,39.18798741277877,Other,36.0
2012,Barceloneta Municipio,72017,24815.0,0.0,19166.0,108.0,17.7,37.6,15034.0,21385.98,229.59,9518.0,43.2,53.5,23.5,53.0,69.7,36.3,3.43,22.6,1.4,0.0,0.2,0.2,0.48717948717948717,0.6282051282051282,0.6730769230769231,0.717948717948718,0.3076923076923077,1.0,0.5384615384615384,0.5192307692307693,0.038461538461538464,0.7307692307692307,5.6410256410256405,0.6794871794871795,831.1248,95.40755638359788,38.355833165424144,Other,44.166666666666664
2012,Barranquitas Municipio,72019,30322.0,0.0,22997.0,135.0,12.4,36.5,14907.0,21205.32,229.59,10348.0,52.0,56.7,12.4,51.4,66.6,21.0,4.82,9.8,1.8,0.0,1.3,0.84,0.17307692307692307,0.7948717948717948,0.08974358974358974,0.1858974358974359,0.02564102564102564,0.48717948717948717,0.8076923076923077,0.9423076923076923,0.8012820512820513,0.7435897435897436,5.051282051282051,0.5384615384615384,561.2879999999999,64.43210033852542,34.12703647516654,Other,41.46666666666667
