policy_package,display_name,endpoint_2030,gain_vs_baseline_2030
baseline,Baseline,3008314.0829012915,0.0
family_demography_support,Family/demography support,3009007.7464481452,693.6635468536988
resilience_and_vulnerability,Resilience + vulnerability,3013257.60404033,4943.521139038261
public_safety,Public safety,3015274.947574033,6960.864672741387
jobs_push,Jobs push,3017932.3574809036,9618.274579612073
retention_bundle,Retention bundle,3020730.7868423015,12416.703941009939
