year,total_population,target_pop_change_3y_avg,svi_pca_1,wind_3yr_sum,seismic_3yr_sum,wind_3yr_x_svi,seismic_3yr_x_svi,income_growth,establishment_growth,lag_total_crime_rate,region
2010,48234.89743589744,-0.6299133579924094,2.536097241068622,0.8486031864072927,16444.98138585472,1.947476926782089,43905.53908148467,,,,Puerto Rico
2011,47981.8717948718,-0.8180273802361386,2.292746613454017,4.6241909035459265,23118.62767004141,10.924545950370057,61104.45833520658,-0.367026202224325,,614.1909336361437,Puerto Rico
2012,47650.346153846156,-1.051108188292535,1.4198095659991277,4.629865619625722,26559.672135174722,10.940280857358479,69436.16399832992,0.1069090296309622,,578.8744567826529,Puerto Rico
2013,47217.51282051282,-1.246373678243787,1.1288973898825243,4.374665245583212,14111.897008256608,10.576537327581592,35436.06278148072,0.1851284717836979,0.33488279852968095,556.6491550539954,Puerto Rico
2014,46653.39743589744,-1.4487110557183287,0.8503564811313896,1.1142157083963502,25796.590910972558,2.915773076807496,67874.60873711995,-1.3629737133889437,-1.3462372614552907,515.7375051937022,Puerto Rico
2015,45936.833333333336,-1.7603022637241306,0.580510054858856,1.7567471767514933,27420.986284175116,4.582991504092639,71993.23683154472,-1.5985834778979147,-1.3378017951872403,431.30125350998964,Puerto Rico
2016,45248.52564102564,-1.9290103789577684,0.16631674732916282,1.1633443643867105,31087.02749838584,2.999258107087438,81183.57671836029,0.33434295537757364,-0.08724374312895389,336.65139532437945,Puerto Rico
2017,44473.88461538462,-1.9729084396805787,-0.12806484391003511,11.10960620122578,19023.72344486894,27.682987714017436,47263.26501094273,-0.7593584967676037,1.1460728654063483,954.2945820765752,Puerto Rico
2018,43422.320512820515,-0.9879136214877992,-0.4756480761521571,10.732607464699113,21185.501292338406,26.698979423353823,53280.646882923844,0.5094959925931664,-0.2039988432677626,817.6239598467881,Puerto Rico
2019,42544.192307692305,-0.7855549002582881,-0.8606482979049662,13.994300640384804,29468.310486178754,34.54221286340682,76944.051568058,0.2857024008037127,3.524642816463453,208.83491712764325,Puerto Rico
2020,41739.0,-0.3656642023253174,-1.2509938630103838,4.790122524901098,262876.2884054665,11.840589494988967,755212.7692126014,1.1418725225287902,2.0431265690823515,178.62038554109242,Puerto Rico
2021,42452.230769230766,-0.7769579305916637,-1.6688190559158738,5.40858251716344,285753.04582642805,13.446631883578775,821441.0441958879,0.6504073200390015,5.272882666787423,124.1462598402212,Puerto Rico
2022,41953.61538461538,,-2.0931859038951792,5.749968511455649,296827.4285336251,15.099182514168112,853132.0193503562,1.3200879194812536,6.249290601718192,118.35226644176142,Puerto Rico
2023,41729.294871794875,,-2.497374052935104,4.705369862912833,79854.4789994448,12.219280084183499,221746.4063771498,0.604541919069464,,112.81657781426827,Puerto Rico
2024,41465.5,,,3.81570242274222,65212.30999474662,9.914292651983738,179022.9122515777,9.917867841365489,,107.29655212912476,Puerto Rico
