municipio,region,year,p05,p10,p25,p50,p75,p90,p95,scenario,baseline_p50,abs_impact_vs_baseline,pct_impact_vs_baseline
Yauco,South,2030,28624.14721258112,28825.260800722048,29194.026694476815,29534.770930369617,29980.43494007624,30413.24935784396,30603.479917448974,hurricane_cat4,30406.56143876256,-871.7905083929436,-2.867113106980841
Adjuntas,Central Mountains,2030,15733.782098277725,15822.371446623389,16024.758265521998,16241.073584876434,16454.678377180087,16657.56645917376,16747.893026904774,hurricane_cat5_maria_like,16775.140544575253,-534.0669596988191,-3.183680984845911
Aguada,West,2030,32879.8214134546,33046.89274503538,33556.08005994798,33927.12489275811,34406.91869677589,34790.9990049602,35091.291149604156,hurricane_cat5_maria_like,35074.98882129394,-1147.8639285358295,-3.2725995562939825
Aguadilla,West,2030,45630.66232490564,46459.35151945863,47581.126336112706,48832.6608484249,49733.92998756733,51050.11583203399,51572.233195894965,hurricane_cat5_maria_like,50460.53383745808,-1627.8729890331815,-3.2260320397656432
Aguas Buenas,Central Mountains,2030,20718.709938375872,20796.383935931142,21091.87190306541,21335.82976138346,21565.95561383657,21789.370877721107,21915.170396693582,hurricane_cat5_maria_like,22105.39176892521,-769.5620075417501,-3.4813316840806534
Aibonito,Central Mountains,2030,20516.539539065056,20807.126079400507,21318.576387208333,22025.93334603097,22715.520355642344,23202.752473032837,23750.33289470026,hurricane_cat5_maria_like,22884.973699729395,-859.0403536984231,-3.753731006947065
Arecibo,North,2030,74456.17132136882,75374.56904575805,76675.24571641826,78243.61984748536,79690.37737588966,81192.44939501962,81914.5169008892,hurricane_cat5_maria_like,80780.55067571937,-2536.930828234006,-3.1405218298376183
Arroyo,South,2030,12452.303027348815,12543.25460840352,12845.29863822137,13136.718957147674,13392.512158947251,13685.78738253899,13817.348657942663,hurricane_cat5_maria_like,13792.16731790864,-655.4483607609654,-4.752323153083338
Añasco,West,2030,22050.730194478474,22207.33479484445,22460.853843474917,22670.282733667773,22930.974153193783,23187.763929322882,23364.941236109393,hurricane_cat5_maria_like,23456.200146733834,-785.9174130660613,-3.350574296559695
Barceloneta,North,2030,19699.37559111387,19761.680427491086,20070.26978138918,20291.316917977572,20587.73381180548,20867.967409494606,21070.0722660249,hurricane_cat5_maria_like,20944.37620592169,-653.0592879441174,-3.118065114584197
Barranquitas,Central Mountains,2030,24956.032047592445,25259.75012015524,25735.055354556644,26218.1949367352,26574.07805884675,26930.762422278243,27173.249955885694,hurricane_cat5_maria_like,27126.519272996455,-908.3243362612557,-3.3484735992850445
Bayamón,Metro,2030,154199.12563815282,155126.9896793068,157978.66889579364,162746.81797696417,167209.36981426683,170055.60909502147,172343.57393077077,hurricane_cat5_maria_like,168650.71142058505,-5903.89344362088,-3.5006632310596153
Cabo Rojo,West,2030,41127.908154107434,41392.131223382385,41812.64790400189,42258.41057589456,42722.400074187855,43058.69912012776,43211.82754962003,hurricane_cat5_maria_like,43755.86582754467,-1497.4552516501135,-3.422296012955258
Caguas,East,2030,103721.61814212191,104468.73840975249,105869.08802863432,107321.80410910537,108498.1788701541,109674.03081063337,110416.11491371751,hurricane_cat5_maria_like,113126.81334654687,-5805.009237441496,-5.131417623917973
Camuy,North,2030,28184.943834557125,28587.021936491295,29036.80591957469,29586.964084169565,30150.761118662165,30685.846640656167,31007.432657182933,hurricane_cat5_maria_like,30523.360541797476,-936.3964576279104,-3.06780263053161
