year,p05,p10,p25,p50,p75,p90,p95,observed_population,error,abs_error,pct_error
2018,3359747.777023643,3362895.145622938,3369202.173316753,3373976.6359500545,3379312.9283330794,3385862.050824798,3387561.6307397564,3386941.0,-12964.364049945492,12964.364049945492,-0.38277501881330356
2019,3292445.057660534,3295430.3413342857,3303805.0077452185,3312113.439185801,3318759.814700741,3326989.112158306,3331492.747982973,3318447.0,-6333.560814199038,6333.560814199038,-0.19085918244886954
2020,3257765.761308596,3264636.233005202,3270030.4497929635,3277651.715154683,3285872.318790233,3295205.127783431,3297407.2260852116,3255642.0,22009.715154683217,22009.715154683217,0.6760483847635341
2021,3219929.4005830497,3222861.9259263827,3227831.7069288045,3237480.4732734645,3248202.400332165,3255705.5435289587,3262410.9491159325,3311274.0,-73793.52672653552,73793.52672653552,-2.2285539259673324
