scenario,endpoint_2030,gain_vs_baseline_2030,gain_vs_latest_observed,endpoint_low,endpoint_high,endpoint_error_minus,endpoint_error_plus,endpoint_uncertainty_pm
Baseline decline,3008314.0829012915,0.0,-225994.91709870845,2984247.5702380813,3032380.595564502,24066.512663210277,24066.512663210277,24066.512663210277
Retention bundle,3020730.7868423015,12416.703941009939,-213578.2131576985,2993544.209760721,3047917.3639238817,27186.577081580646,27186.57708158018,27186.577081580414
Recovery strategy,3040666.2278835224,32352.14498223085,-193642.7721164776,3010259.565604687,3071072.8901623576,30406.662278835196,30406.662278835196,30406.662278835196
Recovery rebound sensitivity,3253714.854,245400.77109870827,19405.853999999817,3227685.1351679997,3279744.572832,26029.71883200016,26029.71883200016,26029.71883200016
