region,year,p05,p10,p25,p50,p75,p90,p95,scenario,baseline_p50,abs_impact_vs_baseline,pct_impact_vs_baseline
North,2030,272930.27505003207,275358.1651458475,279544.860848806,283809.05119750474,288483.919963863,292613.7003011836,294776.1766709216,hurricane_cat5_maria_like,335487.2392543479,-51678.18805684318,-15.403920629500792
South,2030,290911.1732978394,293643.5451302457,297340.65567059553,303570.18897501717,307883.02262590965,313836.02891003614,317519.0236926827,hurricane_cat5_maria_like,368745.11508925306,-65174.92611423589,-17.674790376127586
West,2030,351589.16321961343,354440.41418912297,358257.387271073,362767.6150423974,367705.86456850526,373121.18672715174,377211.7098291693,hurricane_cat5_maria_like,432700.03338873613,-69932.41834633873,-16.16187033743806
Central Mountains,2030,330571.4780713958,332630.2822731086,337183.93425278895,341957.0400473931,346140.32241719693,350437.0182643027,352267.80980601866,earthquake_m6_0,350925.69941587886,-8968.659368485736,-2.5557146095068575
East,2030,479490.1453229236,481356.5528810674,485584.39363219426,492423.6777808746,498541.71675304224,503173.8862055129,506016.176273102,earthquake_m6_0,504089.95392130024,-11666.276140425645,-2.314324268848058
Metro,2030,799646.7985090361,812494.7480357029,831808.6582651132,852446.5155663791,875473.5215363868,897477.5499487027,908833.1377863954,earthquake_m6_0,872654.0384943262,-20207.52292794711,-2.315639650601181
North,2030,315880.8443965837,318611.397588695,323354.1734495851,328126.25820259575,333386.31915541703,338039.7688500284,340469.1778908546,earthquake_m6_0,335487.2392543479,-7360.981051752169,-2.1941165536169556
South,2030,343007.333177534,346094.3503231938,350359.32386775094,357538.7312829994,362378.51098236657,369260.23816637066,373415.6020016024,earthquake_m6_0,368745.11508925306,-11206.383806253667,-3.0390595963667786
West,2030,408012.5452774294,411270.754008948,415495.81154244044,420601.8550658185,426177.9320580022,432263.7006059395,436916.06160834775,earthquake_m6_0,432700.03338873613,-12098.178322917607,-2.795973512682549
Central Mountains,2030,324851.7506713818,326892.2312000539,331376.27036403643,336079.9331054477,340208.08182350546,344441.3245804665,346248.60184538725,earthquake_m6_5,350925.69941587886,-14845.76631043118,-4.230458565771097
East,2030,471998.231872088,473842.2761861037,478013.1314032372,484766.21805783745,490800.46792528,495383.0978575046,498182.94761120557,earthquake_m6_5,504089.95392130024,-19323.73586346279,-3.8333903925567334
Metro,2030,787041.5314042283,799723.0409241361,818794.7388833805,839182.9440286781,861907.8710794206,883621.1481007152,894862.6327516217,earthquake_m6_5,872654.0384943262,-33471.09446564806,-3.835551431515627
North,2030,311194.7706811946,313892.9343588433,318576.2137926447,323290.7387585929,328490.24852568127,333087.82147450995,335487.7678392865,earthquake_m6_5,335487.2392543479,-12196.500495754997,-3.6354588397647767
South,2030,335938.6741886343,338979.6536351579,343166.9881627165,350219.55161141354,354988.42179098807,361745.5343772227,365838.27268776,earthquake_m6_5,368745.11508925306,-18525.563477839518,-5.023948174433576
West,2030,400289.3862715714,403492.32006058603,407661.55626213585,412687.71398924035,418177.5297068657,424167.99611014494,428749.49685816217,earthquake_m6_5,432700.03338873613,-20012.319399495784,-4.624986793453004
Central Mountains,2030,319211.003248343,321233.1938565638,325648.46008749196,330283.4526684348,334357.0014019783,338527.4901428702,340311.49623724463,earthquake_m6_8,350925.69941587886,-20642.246747444035,-5.882227144322393
East,2030,464599.7451978771,466421.61235159996,470536.0677686101,477203.76877668285,483155.13556102413,487688.5865499329,490446.4698437294,earthquake_m6_8,504089.95392130024,-26886.185144617397,-5.333608602089884
Metro,2030,774594.8016973245,787111.4970670068,805943.3043705064,826084.0638523842,848509.9337454883,869935.4093344801,881063.495019153,earthquake_m6_8,872654.0384943262,-46569.97464194195,-5.336590743600247
North,2030,306564.16091210145,309230.2129563656,313854.57404186076,318512.0732753184,323651.54800893273,328193.74463794264,330564.5055399639,earthquake_m6_8,335487.2392543479,-16975.165979029494,-5.059854442380105
South,2030,328986.3726324871,331981.7932838564,336092.9176025689,343020.0416004106,347718.72073501284,354352.9743645028,358383.75047355605,earthquake_m6_8,368745.11508925306,-25725.073488842463,-6.976383533274964
West,2030,392682.96578447765,395831.34865172807,399945.25185308856,404892.47620893875,410297.067104355,416193.33959573647,420704.8318602496,earthquake_m6_8,432700.03338873613,-27807.557179797383,-6.426520691949006
Central Mountains,2030,313648.42002131,315652.35617440275,319999.68187038077,324566.7711675677,328586.2503268983,332694.67900981737,334455.6550477259,earthquake_m7_2,350925.69941587886,-26358.92824831116,-7.511256169663834
East,2030,457293.8137122463,459093.6889965643,463152.32616596174,469735.4483140182,475604.83078742615,480089.46220090904,482805.8492807873,earthquake_m7_2,504089.95392130024,-34354.505607282044,-6.815153791508719
