earthquake_high,svi_group,target_pop_change_3y_avg,svi_pca_1,hazard,threshold_used
0,Q1 Low,-1.1790964215455946,-2.6253389754260694,earthquake,63814.848329707565
0,Q2,-1.2722302191737176,-0.5974090184980407,earthquake,63814.848329707565
0,Q3,-1.332812745628068,0.7478627771732564,earthquake,63814.848329707565
0,Q4 High,-1.196829472107832,2.5948570692076816,earthquake,63814.848329707565
1,Q1 Low,-0.49790431596555434,-2.6941258283654173,earthquake,63814.848329707565
1,Q2,-0.45233283071304947,-0.7425540135162753,earthquake,63814.848329707565
1,Q3,-0.7392688605956089,0.3319292386578572,earthquake,63814.848329707565
1,Q4 High,-1.6125111786623763,2.5117701196045097,earthquake,63814.848329707565
