year,municipio,geoid,total_population,total_population_moe,total_population_16plus,total_population_16plus_moe,unemployment_rate_pct,labor_force_participation_pct,median_income_nominal,median_income_real,cpi,total_housing_units,pct_no_vehicle,pct_below_poverty,pct_no_hs_diploma,pct_aged_65_plus,pct_aged_17_under,pct_disability,pct_single_parent,pct_lim_english,pct_multi_unit,pct_mobile_homes,pct_crowding,pct_group_quarters
2012,Florida Municipio,72054,12657.0,0.0,9786.0,89.0,15.3,40.4,16150.0,22649.5,229.59,4751.0,41.8,55.7,13.8,52.8,69.7,32.8,2.28,16.4,1.9,0.0,0.4,0.09
2012,Guayama Municipio,72057,45250.0,0.0,35138.0,132.0,21.4,44.3,17496.0,24537.19,229.59,18043.0,43.9,47.5,24.2,50.4,70.3,21.5,5.07,15.8,2.7,0.1,0.8,3.46
2012,Guayanilla Municipio,72059,21493.0,0.0,16656.0,96.0,27.1,37.6,14679.0,20586.5,229.59,8246.0,44.5,55.5,28.9,52.3,70.2,19.7,2.93,8.9,0.5,0.5,0.4,0.15
2012,Guaynabo Municipio,72061,97639.0,0.0,79414.0,199.0,15.2,57.8,34638.0,48577.91,229.59,38799.0,39.2,27.2,13.4,53.5,74.4,14.8,2.42,24.7,20.1,0.2,0.7,0.99
2012,Gurabo Municipio,72063,45540.0,0.0,35023.0,169.0,13.1,55.1,27817.0,39011.83,229.59,15880.0,38.4,33.9,16.5,53.0,69.7,17.1,2.79,20.0,0.7999999999999999,0.0,0.3,0.57
2012,Guánica Municipio,72055,19363.0,0.0,15127.0,86.0,33.0,40.1,13567.0,19026.98,229.59,9021.0,52.0,61.3,18.3,52.6,71.1,25.7,2.88,9.7,0.7,0.1,0.9,0.45
2012,Hatillo Municipio,72065,41945.0,0.0,33072.0,134.0,20.1,46.1,18669.0,26182.26,229.59,15703.0,47.0,47.1,19.8,52.7,71.6,10.7,1.54,8.1,1.5,0.2,0.6,0.25
2012,Hormigueros Municipio,72067,17217.0,0.0,14028.0,78.0,14.2,43.8,20428.0,28649.16,229.59,7216.0,42.8,32.4,20.1,54.7,74.9,20.1,2.68,22.2,3.5999999999999996,0.4,0.1,1.0
2012,Humacao Municipio,72069,58333.0,0.0,46310.0,178.0,17.0,43.7,19918.0,27933.91,229.59,25192.0,40.8,44.3,19.6,53.5,71.7,15.1,2.76,16.1,8.6,0.0,0.8,1.04
2012,Isabela Municipio,72071,45567.0,0.0,36176.0,132.0,15.8,36.6,14570.0,20433.63,229.59,18766.0,42.6,57.1,22.3,52.2,71.9,28.3,2.7,13.1,2.3,0.0,1.0,0.53
2012,Jayuya Municipio,72073,16600.0,0.0,12583.0,81.0,25.0,48.6,17137.0,24033.71,229.59,5802.0,43.8,54.4,14.1,50.7,68.2,29.6,8.76,7.5,1.2,0.3,1.2,0.34
