actual_prediction,counterfactual_prediction_no_disaster_features,delta_prediction
0.12946750686427744,0.12946750686427744,0.0
-0.6833031140100259,-0.6833031140100259,0.0
0.006357873957655524,0.006357873957655524,0.0
-0.9199989502600634,-0.9199989502600634,0.0
1.105385880456674,1.105385880456674,0.0
-1.1569087801983502,-1.1569087801983502,0.0
-1.9927950253456461,-1.9927950253456461,0.0
-1.5154664922762258,-1.5154664922762258,0.0
2.013310938629319,2.013310938629319,0.0
-0.5464682776380452,-0.5464682776380452,0.0
0.6035804047160525,0.6035804047160525,0.0
-1.054828885256484,-1.054828885256484,0.0
-3.5768502274706693,-3.5768502274706693,0.0
-1.8103887411579136,-1.8103887411579136,0.0
-1.7364878886272703,-1.7364878886272703,0.0
-1.258087223389237,-1.258087223389237,0.0
-2.014483056723082,-2.014483056723082,0.0
-0.8091838248696905,-0.8091838248696905,0.0
0.49699117353772837,0.49699117353772837,0.0
-0.4607729719993485,-0.4607729719993485,0.0
1.0895812757826777,1.0895812757826777,0.0
-1.1167148871830002,-1.1167148871830002,0.0
-1.022728614584094,-1.022728614584094,0.0
-0.7596731969307055,-0.7596731969307055,0.0
-0.538226476907847,-0.538226476907847,0.0
-1.059094535889956,-1.059094535889956,0.0
1.0339127015317586,1.0339127015317586,0.0
-0.7012084944099037,-0.7012084944099037,0.0
-2.3539249074999358,-2.3539249074999358,0.0
-1.0305281061850051,-1.0305281061850051,0.0
0.08881683312241617,0.08881683312241617,0.0
-1.1986455647745793,-1.1986455647745793,0.0
-1.5208659643248263,-1.5208659643248263,0.0
-1.7438904306447292,-1.7438904306447292,0.0
-1.6575333591304602,-1.6575333591304602,0.0
-1.2422992292269097,-1.2422992292269097,0.0
-0.6197354443218578,-0.6197354443218578,0.0
-1.6642012966957687,-1.6642012966957687,0.0
0.7170208122577562,0.7170208122577562,0.0
-0.9583735247363327,-0.9583735247363327,0.0
0.11950472742723162,0.11950472742723162,0.0
-0.8593384889983497,-0.8593384889983497,0.0
-3.623011496653545,-3.623011496653545,0.0
-1.3277451666766604,-1.3277451666766604,0.0
-0.6737584947411075,-0.6737584947411075,0.0
-0.8868004282619792,-0.8868004282619792,0.0
0.8396884696646827,0.8396884696646827,0.0
-0.7121999130173833,-0.7121999130173833,0.0
-2.232037608517235,-2.232037608517235,0.0
1.7098986977582318,1.7098986977582318,0.0
-0.9335344842707092,-0.9335344842707092,0.0
-0.6189264793041079,-0.6189264793041079,0.0
0.9078219412334578,0.9078219412334578,0.0
-1.3273007017347511,-1.3273007017347511,0.0
-0.16649015919114185,-0.16649015919114185,0.0
-0.9713873790580536,-0.9713873790580536,0.0
-3.5204207352491865,-3.5204207352491865,0.0
-1.9308342775645082,-1.9308342775645082,0.0
-1.4503114954188625,-1.4503114954188625,0.0
-1.8923193145664516,-1.8923193145664516,0.0
0.8984070904379717,0.8984070904379717,0.0
-0.7645588646658663,-0.7645588646658663,0.0
-4.472826936638133,-4.472826936638133,0.0
-0.9306878845231947,-0.9306878845231947,0.0
-5.134726147688127,-5.134726147688127,0.0
-3.2071805822095083,-3.2071805822095083,0.0
-1.34396741670816,-1.34396741670816,0.0
-0.8536541609541917,-0.8536541609541917,0.0
-0.8045182637778789,-0.8045182637778789,0.0
-0.9794673674791503,-0.9794673674791503,0.0
-1.0439669084028982,-1.0439669084028982,0.0
-1.1741293566111137,-1.1741293566111137,0.0
0.7504765600286418,0.7504765600286418,0.0
-0.6135898323020295,-0.6135898323020295,0.0
0.36022967464262945,0.36022967464262945,0.0
-1.1361554924917985,-1.1361554924917985,0.0
0.08708404490757249,0.08708404490757249,0.0
-0.8490049380885192,-0.8490049380885192,0.0
-1.5762277418466981,-1.5762277418466981,0.0
-0.7606502424015746,-0.7606502424015746,0.0
0.47035319446250656,0.47035319446250656,0.0
-0.9956604729298946,-0.9956604729298946,0.0
2.7561945130956254,2.7561945130956254,0.0
-0.9237278576428605,-0.9237278576428605,0.0
1.746401702308453,1.746401702308453,0.0
-1.112388462670847,-1.112388462670847,0.0
-2.0907702524694516,-2.0907702524694516,0.0
-0.8145087853097884,-0.8145087853097884,0.0
-2.659267430408785,-2.659267430408785,0.0
-2.1039543902595588,-2.1039543902595588,0.0
-0.8824996307889303,-0.8824996307889303,0.0
-1.0733774659307471,-1.0733774659307471,0.0
0.34889806975293625,0.34889806975293625,0.0
-1.0761780512888846,-1.0761780512888846,0.0
-3.96008163478609,-3.96008163478609,0.0
-2.466059652721796,-2.466059652721796,0.0
-0.6564357371243815,-0.6564357371243815,0.0
-1.2844052850956873,-1.2844052850956873,0.0
-0.9982851427016255,-0.9982851427016255,0.0
-1.757403281717138,-1.757403281717138,0.0
0.9790232498754559,0.9790232498754559,0.0
-0.6476260169447234,-0.6476260169447234,0.0
-2.3765267180020224,-2.3765267180020224,0.0
-1.0254315012389688,-1.0254315012389688,0.0
-3.4322222730402236,-3.4322222730402236,0.0
-1.1068900308216933,-1.1068900308216933,0.0
1.054017490480873,1.054017490480873,0.0
-0.45945796960644825,-0.45945796960644825,0.0
0.5483244705219994,0.5483244705219994,0.0
-0.8087020700888756,-0.8087020700888756,0.0
-1.8415186539186128,-1.8415186539186128,0.0
-1.5956723512094568,-1.5956723512094568,0.0
-0.030441484630040927,-0.030441484630040927,0.0
-1.6006091862996914,-1.6006091862996914,0.0
-0.6288565420670609,-0.6288565420670609,0.0
-1.835751840997923,-1.835751840997923,0.0
-0.16738859907517534,-0.16738859907517534,0.0
-0.9011454269261666,-0.9011454269261666,0.0
2.3081119680860276,2.3081119680860276,0.0
-0.11161847849797968,-0.11161847849797968,0.0
-1.7759029833460163,-1.7759029833460163,0.0
-1.3613601499667978,-1.3613601499667978,0.0
0.06287003546823233,0.06287003546823233,0.0
-1.0849879088704248,-1.0849879088704248,0.0
-2.721649937219936,-2.721649937219936,0.0
-1.5966261581227161,-1.5966261581227161,0.0
0.1906464860226047,0.1906464860226047,0.0
-1.1772268454774155,-1.1772268454774155,0.0
0.5460504469756484,0.5460504469756484,0.0
-1.2696950872498582,-1.2696950872498582,0.0
0.26145262655719725,0.26145262655719725,0.0
-0.8193005560143727,-0.8193005560143727,0.0
1.6947732803831952,1.6947732803831952,0.0
-0.8044918149668401,-0.8044918149668401,0.0
-2.2776688974609076,-2.2776688974609076,0.0
-1.2515680858747769,-1.2515680858747769,0.0
-2.74125875794366,-2.74125875794366,0.0
-0.879608042468865,-0.879608042468865,0.0
-1.1663392654907025,-1.1663392654907025,0.0
-1.6669208852444848,-1.6669208852444848,0.0
0.5394584580804833,0.5394584580804833,0.0
-0.9275951824412798,-0.9275951824412798,0.0
