scenario,seconds
baseline,39.50619196891785
hurricane_cat1,39.96200394630432
hurricane_cat2,40.30211305618286
hurricane_cat3,40.31762218475342
hurricane_cat4,40.484663009643555
hurricane_cat5_maria_like,40.196293115615845
earthquake_m6_0,40.50914263725281
earthquake_m6_5,40.48228716850281
earthquake_m6_8,40.64806795120239
earthquake_m7_2,40.16417717933655
earthquake_m7_5,40.250895977020264
