scenario,municipio,region,p50,baseline_p50,abs_impact_vs_baseline,pct_impact_vs_baseline
hurricane_cat4,Añasco,West,22902.718930506708,23431.57115298224,-528.8522224755325,-2.2570070910854096
hurricane_cat4,Lajas,West,21149.530921108813,21645.391562267323,-495.8606411585097,-2.2908370113428846
hurricane_cat4,Aguas Buenas,Central Mountains,21601.274972051622,22065.92335107903,-464.6483790274069,-2.105728238218889
hurricane_cat4,Guayanilla,South,15362.124900420495,15814.800062158916,-452.6751617384216,-2.862351467987043
hurricane_cat4,Cataño,Metro,20389.928592794175,20838.772652308602,-448.8440595144275,-2.153889132547846
hurricane_cat4,Barceloneta,North,20464.13327685833,20906.053004419417,-441.9197275610859,-2.1138362533935346
hurricane_cat4,Sabana Grande,West,20699.264827629064,21137.31049099842,-438.0456633693575,-2.072381268922101
hurricane_cat4,Patillas,South,13585.316639434423,14005.914380625578,-420.59774119115536,-3.003000944893462
hurricane_cat4,Orocovis,Central Mountains,19277.615723846036,19695.71791124165,-418.1021873956124,-2.1228075527877754
hurricane_cat4,Arroyo,South,13377.949639852115,13795.982790661492,-418.0331508093768,-3.0301078013256415
hurricane_cat4,Quebradillas,North,21362.44420402791,21776.837298446742,-414.39309441883233,-1.9029076111451197
hurricane_cat4,Comerío,Central Mountains,17035.209695975234,17439.786168247112,-404.5764722718777,-2.319847665383056
hurricane_cat4,Ciales,Central Mountains,15285.069624844338,15653.090050125733,-368.02042528139464,-2.351103993543042
hurricane_cat4,Guánica,West,10922.38654387676,11278.016233257078,-355.62968938031736,-3.1533000310074204
hurricane_cat4,Adjuntas,Central Mountains,16414.010577501766,16752.12993968087,-338.11936217910625,-2.018366401147599
hurricane_cat4,Ceiba,East,9586.70988539545,9919.600237075274,-332.89035167982365,-3.355884750633601
hurricane_cat4,Rincón,West,13910.160376053736,14236.207086822731,-326.04671076899467,-2.2902638938905917
hurricane_cat4,Maunabo,East,8951.477097090668,9276.123239167518,-324.6461420768501,-3.4998041068068573
hurricane_cat4,Jayuya,Central Mountains,13322.13841829852,13641.716627164551,-319.57820886603076,-2.3426539166607476
hurricane_cat4,Hormigueros,West,14109.237631703701,14413.154947967112,-303.9173162634106,-2.1086106224527636
hurricane_cat4,Vieques,East,6981.026780426506,7234.907579841597,-253.88079941509113,-3.509109088310561
hurricane_cat4,Florida,North,10520.872821569124,10724.827001171994,-203.95417960286977,-1.9017013475423141
hurricane_cat4,Las Marías,West,7952.60222558139,8116.669604851807,-164.0673792704174,-2.021363283930453
hurricane_cat4,Maricao,West,4619.077243336904,4736.591058029554,-117.51381469265016,-2.4809786881102736
hurricane_cat4,Culebra,East,1138.403784172419,1173.6159986412554,-35.212214468836464,-3.0003182054098723
hurricane_cat5_maria_like,San Juan,Metro,298597.3356736589,309872.0121047741,-11274.676431115251,-3.6384946012171793
hurricane_cat5_maria_like,Bayamón,Metro,162060.63541949057,168063.60415505752,-6002.968735566945,-3.571843389737455
hurricane_cat5_maria_like,Caguas,East,106967.08413596539,112886.93674952965,-5919.8526135642605,-5.244054612535959
hurricane_cat5_maria_like,Ponce,South,115620.14387884503,121505.66019451046,-5885.516315665431,-4.843820696289945
hurricane_cat5_maria_like,Carolina,Metro,134547.86660033165,139558.14449020842,-5010.277889876772,-3.590100676803065
hurricane_cat5_maria_like,Guaynabo,Metro,79353.73727576855,82106.00676613805,-2752.2694903694937,-3.3520927381217835
hurricane_cat5_maria_like,Arecibo,North,77967.17875461967,80613.46736062085,-2646.2886060011806,-3.282687983340455
hurricane_cat5_maria_like,Humacao,East,42583.37565109897,45064.33021830673,-2480.9545672077584,-5.505362123855347
hurricane_cat5_maria_like,Toa Alta,Metro,58891.47087467922,61237.793324372935,-2346.322449693718,-3.8314941187795393
hurricane_cat5_maria_like,Toa Baja,Metro,65693.50101733964,68004.46401358768,-2310.9629962480394,-3.3982519085604377
hurricane_cat5_maria_like,Trujillo Alto,Metro,59429.060538135345,61689.74417618965,-2260.6836380543027,-3.664602063509379
hurricane_cat5_maria_like,Río Grande,East,39091.336078035565,41308.94515148988,-2217.6090734543177,-5.368350765970444
hurricane_cat5_maria_like,Mayagüez,West,64548.87463402661,66714.18801079149,-2165.3133767648833,-3.2456564957586362
