year,p05,p10,p25,p50,p75,p90,p95,observed_population
2018,3365263.564158407,3367193.568818935,3371382.480652556,3374667.6526267487,3378416.208479591,3382262.4345884686,3383582.0246023075,3386941.0
2019,3297533.4716770025,3300361.1524755587,3304962.1034053364,3310617.876495501,3315315.4527781527,3320742.000859813,3324202.1589584267,3318447.0
2020,3264708.111384987,3268425.214075292,3271899.903508182,3276340.6407210226,3281953.0630172854,3288222.484488032,3289987.3718990646,3255642.0
2021,3221865.780834967,3224279.385945098,3228280.6352036577,3234051.4928056905,3241773.062847458,3245678.559688619,3250222.9516101293,3311274.0
