index,target_pop_change_3y_avg,lag_pop_change_1,lag_pop_change_2,baseline_vulnerability_index,median_income_real,income_growth,employment_proxy_growth,lag_total_crime_rate,wind_3yr_sum,seismic_3yr_sum,wind_3yr_x_svi,seismic_3yr_x_svi,natural_change_rate_pr_roll3_mean
target_pop_change_3y_avg,1.0,-0.02211161115260954,-0.07037908530989125,-0.07066427366497827,0.06254535900467026,0.10498572588489011,0.20302123827873952,-0.11361122349765534,0.008104596073811421,0.1342069302637397,-0.054306007200319376,0.07973995531506924,-0.09422119938574276
lag_pop_change_1,-0.02211161115260954,1.0,0.13716155367629826,-0.04136695499828212,0.08257270604190037,0.04053873662035124,0.04231022839184575,-0.056627236043571075,-0.1290044791218067,0.03348318833675949,-0.11061598904098703,-0.003699869352405214,0.030835787550708822
lag_pop_change_2,-0.07037908530989125,0.13716155367629826,1.0,-0.038450270767021684,0.050936005170282794,-0.07140053876916436,-0.05319958709657905,0.0019678427047961867,-0.09960991949542224,-0.17469006069079338,-0.09005850440362698,-0.16538719275073577,0.09387839137551666
baseline_vulnerability_index,-0.07066427366497827,-0.04136695499828212,-0.038450270767021684,1.0,-0.7421186609972326,0.07790610791140017,0.026069076046994752,-0.15034965513236356,-0.03935936667622473,0.10880242154906518,0.5081206483463172,0.29467741867830505,-1.8211147643564372e-17
median_income_real,0.06254535900467026,0.08257270604190037,0.050936005170282794,-0.7421186609972326,1.0,0.08629023260099991,0.01674345806358615,0.09753362668036544,0.031004096062552434,-0.15271019920917456,-0.37667189514671834,-0.24428391942190436,-0.02197741785732031
income_growth,0.10498572588489011,0.04053873662035124,-0.07140053876916436,0.07790610791140017,0.08629023260099991,1.0,0.3609709034611853,-0.16753180266144962,-0.03129456887603452,0.09040348484619078,0.026090971225813442,0.09015943613367422,-0.27362452580470387
employment_proxy_growth,0.20302123827873952,0.04231022839184575,-0.05319958709657905,0.026069076046994752,0.01674345806358615,0.3609709034611853,1.0,-0.2294643280513155,0.0734666929220431,0.24551913213130855,0.09055821962555341,0.2192556151884629,-0.38522205350386146
lag_total_crime_rate,-0.11361122349765534,-0.056627236043571075,0.0019678427047961867,-0.15034965513236356,0.09753362668036544,-0.16753180266144962,-0.2294643280513155,1.0,0.22925440080974954,-0.3440392735729786,0.022807055459082858,-0.3058004805915943,0.4695389896768575
wind_3yr_sum,0.008104596073811421,-0.1290044791218067,-0.09960991949542224,-0.03935936667622473,0.031004096062552434,-0.03129456887603452,0.0734666929220431,0.22925440080974954,1.0,0.004365676919070966,0.7264681855308395,0.0005090789208431757,-0.3193964763026094
seismic_3yr_sum,0.1342069302637397,0.03348318833675949,-0.17469006069079338,0.10880242154906518,-0.15271019920917456,0.09040348484619078,0.24551913213130855,-0.3440392735729786,0.004365676919070966,1.0,0.06920138549258148,0.929373734213191,-0.4530182891698974
wind_3yr_x_svi,-0.054306007200319376,-0.11061598904098703,-0.09005850440362698,0.5081206483463172,-0.37667189514671834,0.026090971225813442,0.09055821962555341,0.022807055459082858,0.7264681855308395,0.06920138549258148,1.0,0.1658330165084822,-0.2609430921830255
seismic_3yr_x_svi,0.07973995531506924,-0.003699869352405214,-0.16538719275073577,0.29467741867830505,-0.24428391942190436,0.09015943613367422,0.2192556151884629,-0.3058004805915943,0.0005090789208431757,0.929373734213191,0.1658330165084822,1.0,-0.38424210641095935
natural_change_rate_pr_roll3_mean,-0.09422119938574276,0.030835787550708822,0.09387839137551666,-1.8211147643564372e-17,-0.02197741785732031,-0.27362452580470387,-0.38522205350386146,0.4695389896768575,-0.3193964763026094,-0.4530182891698974,-0.2609430921830255,-0.38424210641095935,1.0
