year,municipio,geoid,total_population,total_population_moe,total_population_16plus,total_population_16plus_moe,total_housing_units,total_housing_units_moe,unemployment_rate_pct,unemployment_rate_moe,labor_force_participation_pct,labor_force_participation_moe,median_income_nominal,median_income_real,median_income_moe,cpi,total_population_25plus,hs_graduate_pct,hs_graduate_count,hs_graduate_moe,bachelors_plus_pct,bachelors_count,doctorate_count,doctorate_moe,establishment_count,uninsured_pct,uninsured_moe,poverty_rate_pct,unemployment_rate_pct.1,per_capita_income,no_hs_diploma_pct,under_18_pct,over_65_pct,disability_pct,single_parent_pct,minority_pct,limited_english_pct,multi_unit_housing_pct,mobile_homes_pct,crowding_pct,no_vehicle_pct,group_quarters_count,pct_group_quarters,lat,lon,max_wind_knots,max_seismic_mag,target_pop_change,vulnerability_index
2011,Adjuntas,72001,19514,0,15000,107,6834,161,25.3,0,40.9,0,12975,18839.69,1619,224.92,12367,40.8,3251,317.4019534,14.5,1791,22,25.61249695,122.0,0.0,0.0,55.83,25.34,6889,39.48,26.21,13.45,0.0,10.62,99.17,14.35,3.95,0.18,5.98,23.81,82,0.0,18.1627,-66.7222,70.0,0.0,-0.1381710250243029,3.154755135463596
2012,Adjuntas,72001,19458,0,15081,80,7037,114,23.1,0,39.6,0,13095,18627.74,1366,229.59,12458,60.6,3226,389.8025141,15.4,1919,23,27.0,126.0,0.0,0.0,56.25,23.06,7167,39.98,25.57,13.89,21.88,12.77,99.28,14.1,4.15,0.0,5.73,22.95,72,0.37,18.1627,-66.7222,0.0,0.0,-0.28697345495541926,2.4775187474460507
2013,Adjuntas,72001,19334,0,15087,79,7298,140,27.2,0,39.6,0,11528,16161.74,1354,232.95,12518,59.6,3075,304.3961235,15.6,1954,39,38.0,130.0,90.1,2.0,60.19,27.19,7235,41.03,24.9,14.47,22.51,12.3,99.42,14.69,3.55,0.0,4.94,22.16,65,0.34,18.1627,-66.7222,0.0,0.0,-0.6372700174735346,2.9078567432795817
2014,Adjuntas,72001,19188,0,15080,88,7514,136,34.0,0,42.4,0,10550,14555.49,1358,236.72,12567,58.9,3220,334.9776112,16.1,2018,70,55.0,128.0,90.8,1.8,62.07,34.05,7042,41.71,24.24,15.14,19.9,12.85,99.82,13.76,3.46,0.0,5.21,20.51,72,0.38,18.1627,-66.7222,40.0,0.0,-0.7551463742629605,3.2980792600940965
2015,Adjuntas,72001,18962,0,15022,85,7694,126,36.5,0,42.9,0,10499,14467.6,1326,237.0,12556,62.0,3325,294.2685848,17.1,2148,65,48.0,124.0,7.8,2.0,61.7,36.5,7270,38.6,23.66,15.8,20.25,13.89,99.79,13.56,3.41,0.35,4.56,19.25,70,0.37,18.1627,-66.7222,45.0,0.0,-1.1778194705023948,3.0105107274690583
2016,Adjuntas,72001,18760,0,14963,78,7673,143,35.6,0,42.3,0,11296,15371.06,1218,240.01,12590,62.4,3105,309.4010343,18.6,2342,71,48.0,119.0,6.9,1.9,63.01,35.62,7124,38.2,22.96,16.55,20.58,15.16,99.85,0.0,3.17,0.42,4.03,19.05,71,0.38,18.1627,-66.7222,0.0,0.0,-1.0652884716802036,2.987631297393976
2017,Adjuntas,72001,18525,0,14895,100,7705,150,40.9,0,42.2,0,11680,15561.9,1168,245.12,12603,63.2,3116,331.2959402,18.1,2287,80,49.0,124.0,6.1,1.7,64.14,40.89,7117,37.42,22.29,17.35,21.26,14.27,99.68,0.0,3.61,0.35,3.29,19.01,74,0.4,18.1627,-66.7222,135.0,0.0,-1.2526652452025555,3.2398114102237177
2018,Adjuntas,72001,18181,0,14771,89,7594,144,38.4,0,41.7,0,12902,16780.75,1027,251.1,12554,63.9,3173,326.266762,17.9,2246,79,51.0,127.0,5.9,1.6,62.48,38.44,7126,36.7,21.49,18.17,20.15,14.09,99.71,0.0,3.81,0.38,3.8,17.59,77,0.42,18.1627,-66.7222,0.0,0.0,-1.8569500674763817,2.8264297852830977
2019,Adjuntas,72001,17891,0,14696,67,7586,129,34.1,0,39.8,0,14012,17899.88,1363,255.65,12549,65.3,3272,385.0519445,16.9,2120,46,32.0,121.0,6.9,2.0,62.03,34.12,7595,35.26,20.65,19.04,19.38,13.33,99.7,0.0,4.11,0.46,2.91,16.15,75,0.42,18.1627,-66.7222,0.0,5.0,-1.5950717782300172,2.334171387417735
2020,Adjuntas,72001,17614,0,14565,88,7587,176,29.8,0,37.5,0,14253,17982.44,1303,258.86,12529,65.0,3533,368.7817783,16.3,2036,53,32.0,127.0,6.5,1.8,64.78,29.79,7349,35.57,19.85,19.93,17.66,13.89,99.63,0.0,4.22,0.0,2.46,15.9,73,0.41,18.1627,-66.7222,45.0,6.4,-1.5482644905259635,2.3338649493334658
2021,Adjuntas,72001,18068,0,15051,107,7584,160,24.6,0,38.2,0,15375,18530.56,1242,270.97,13018,65.1,3881,466.2928265,14.4,1875,20,17.0,147.0,4.9,1.4,67.07,24.64,7527,35.44,19.03,20.97,14.9,11.66,99.51,0.0,4.61,0.0,2.35,14.06,74,0.41,18.1627,-66.7222,0.0,4.46,2.577495174293176,2.076332224208999
2022,Adjuntas,72001,17972,0,15111,95,7535,298,21.9,0,41.3,0,17659,19708.47,1530,292.63,13115,68.4,4155,532.2527595,16.3,2142,51,55.0,154.0,4.8,1.6,63.38,21.86,8705,32.16,18.23,21.78,14.9,10.32,99.6,17.76,4.49,0.0,2.76,11.55,70,0.39,18.1627,-66.7222,75.0,4.22,-0.5313261013947357,1.1794668632324914
2023,Adjuntas,72001,17975,0,15266,88,7699,264,21.4,0,41.0,0,18605,19941.29,1249,304.7,13263,69.8,4134,460.8882728,17.0,2249,42,44.0,162.0,5.0,1.5,61.95,21.39,9457,30.7,17.63,22.49,17.26,10.54,99.72,16.73,4.43,0.0,2.28,12.33,70,0.39,18.1627,-66.7222,0.0,4.5,0.016692632984649514,0.9793829802537042
2024,Adjuntas,72001,17960,0,15305,121,7937,313,20.3,0,40.5,0,19549,20352.27,1426,313.7,13401,70.3,4281,482.3121396,17.9,2394,42,44.0,,4.9,1.7,60.89,20.26,9682,30.24,17.07,23.22,20.72,9.34,99.64,15.03,4.81,0.0,2.27,11.42,56,0.31,18.1627,-66.7222,0.0,4.4,-0.08344923504868262,0.6369482130679494
2011,Aguada,72003,42082,0,33217,128,16399,225,27.9,0,48.3,0,14935,21685.61,780,224.92,27511,41.9,6563,481.5495821,18.0,4960,131,82.07923002,446.0,0.0,0.0,55.85,27.87,7951,42.03,24.19,12.32,0.0,10.96,94.31,28.33,2.24,0.04,3.8,17.55,92,0.0,18.3605,-67.1882,70.0,5.2,-0.355180905474517,2.7919003776452262
2012,Aguada,72003,41876,0,33277,134,16280,180,30.7,0,48.7,0,15106,21488.4,958,229.59,27673,59.9,6223,476.2824792,20.1,5553,117,84.0,457.0,0.0,0.0,55.79,30.69,8231,40.38,23.53,12.84,28.94,11.23,95.47,26.92,2.19,0.0,3.69,18.32,95,0.23,18.3605,-67.1882,0.0,0.0,-0.4895204600541825,2.1713406485937607
2013,Aguada,72003,41595,0,33414,140,16683,195,30.3,0,47.5,0,15665,21961.63,1057,232.95,27801,60.8,5955,470.0319138,20.1,5582,170,128.0,451.0,93.7,1.3,54.37,30.34,8452,39.48,22.82,13.5,28.64,11.28,96.1,27.96,2.73,0.08,3.97,17.58,106,0.25,18.3605,-67.1882,0.0,4.1,-0.6710287515522051,1.9181121779034758
2014,Aguada,72003,41176,0,33284,154,16998,207,27.9,0,47.5,0,16376,22593.44,969,236.72,27846,62.4,5459,482.8270912,21.6,6014,217,141.0,460.0,93.9,1.1,53.28,27.88,9043,37.84,22.1,14.19,26.82,11.6,96.18,28.32,2.46,0.08,4.2,17.2,115,0.28,18.3605,-67.1882,40.0,0.0,-1.007332612092804,1.6066601711559862
2015,Aguada,72003,40603,0,32989,171,17398,217,25.1,0,46.8,0,16029,22087.93,1247,237.0,27762,63.6,5855,494.6473491,21.4,5940,258,144.0,458.0,5.9,1.1,54.22,25.05,8465,36.71,21.45,14.86,26.88,11.83,96.65,28.82,2.1,0.07,4.74,15.76,115,0.28,18.3605,-67.1882,0.0,0.0,-1.391587332426658,1.2799502175352497
2016,Aguada,72003,40083,0,32846,147,17508,192,21.2,0,45.2,0,15543,21150.18,1391,240.01,27762,65.0,6153,519.0770656,20.2,5614,274,160.0,460.0,5.4,1.3,54.52,21.17,8592,35.25,20.7,15.7,27.33,12.04,96.16,0.0,2.46,0.08,4.63,15.25,90,0.22,18.3605,-67.1882,0.0,0.0,-1.2806935448119616,0.925763761423633
2017,Aguada,72003,39470,0,32605,144,17385,252,17.6,0,44.4,0,16199,21582.81,1510,245.12,27689,65.8,6360,523.2150609,19.3,5335,332,162.0,467.0,5.6,1.2,52.16,17.58,9001,34.52,19.98,16.53,28.86,11.43,95.91,0.0,2.35,0.07,4.56,14.1,93,0.24,18.3605,-67.1882,95.0,4.3,-1.529326647207041,0.37771188535926437
2018,Aguada,72003,38643,0,32149,147,17555,212,14.3,0,42.2,0,16347,21261.43,1084,251.1,27512,66.1,6734,530.9246651,19.4,5348,312,141.0,479.0,5.8,1.3,51.19,14.25,9287,34.15,19.13,17.42,27.99,10.75,94.53,0.0,1.54,0.0,3.64,15.29,85,0.22,18.3605,-67.1882,0.0,0.0,-2.0952622244742813,0.27711845899836446
2019,Aguada,72003,37954,0,31861,169,17704,175,11.2,0,39.8,0,16738,21382.26,1260,255.65,27412,65.7,6979,556.5482908,20.2,5530,260,125.0,497.0,6.0,1.4,49.59,11.21,9692,34.6,18.31,18.37,27.61,11.36,93.28,0.0,1.74,0.0,2.67,13.62,83,0.22,18.3605,-67.1882,0.0,4.3,-1.7829878632611318,-0.11724200239079287
2020,Aguada,72003,37307,0,31610,174,17674,222,7.7,0,37.6,0,16802,21198.41,1131,258.86,27327,65.9,7158,603.0464327,20.5,5612,169,95.0,526.0,5.6,1.4,48.36,7.69,10001,34.38,17.55,19.39,28.35,11.22,93.74,0.0,2.09,0.0,1.75,13.18,90,0.24,18.3605,-67.1882,45.0,4.11,-1.704695157295677,-0.4518430201157747
2021,Aguada,72003,38307,0,32722,145,17565,269,7.6,0,37.9,0,18733,22577.76,1302,270.97,28428,66.5,7340,668.8796603,21.9,6237,173,94.0,548.0,5.2,1.1,45.06,7.57,10695,33.81,16.94,20.55,28.66,10.32,95.38,0.0,1.51,0.0,1.62,12.31,88,0.23,18.3605,-67.1882,35.0,4.46,2.6804621116680583,-0.8128119284743379
2022,Aguada,72003,37998,0,32757,139,17598,466,7.6,0,37.6,0,20301,22657.09,1509,292.63,28576,66.8,7299,705.3226212,21.5,6155,109,78.0,581.0,4.9,1.3,47.2,7.59,11364,33.42,16.21,21.67,27.95,10.87,95.67,26.26,2.11,0.08,2.18,12.01,141,0.37,18.3605,-67.1882,75.0,4.18,-0.8066410838750149,-0.7233696276995246
2023,Aguada,72003,37904,0,32906,144,17417,490,6.0,0,38.0,0,21694,23252.15,1921,304.7,28816,69.9,7418,734.7605052,23.6,6806,145,93.0,597.0,5.6,1.5,46.47,6.05,12509,30.37,15.61,22.51,28.47,9.8,96.81,26.52,2.39,0.09,2.06,10.89,162,0.43,18.3605,-67.1882,0.0,4.18,-0.24738144112848026,-1.2206735004517393
2024,Aguada,72003,37758,0,33010,147,17824,465,5.0,0,38.8,0,21501,22384.47,1777,313.7,29032,70.7,7158,771.1841544,23.4,6799,162,93.0,,5.1,1.5,46.53,5.05,13065,29.52,14.98,23.39,28.22,8.95,98.42,28.37,2.65,0.27,2.34,12.5,220,0.58,18.3605,-67.1882,0.0,0.0,-0.3851836217813376,-1.1484851574168706
2011,Aguadilla,72005,61384,0,48555,173,25918,311,23.3,0,39.8,0,14779,21459.1,761,224.92,40743,46.9,11043,613.1663722,19.8,8073,421,124.8439025,811.0,0.0,0.0,52.19,23.28,8740,36.13,24.05,15.24,0.0,13.38,97.66,27.01,10.8,0.17,3.99,20.95,1360,0.0,18.4275,-67.1541,70.0,5.2,-0.9376260792382851,2.2517013051187846
2012,Aguadilla,72005,60714,0,48215,181,25553,269,24.5,0,40.1,0,15302,21767.21,996,229.59,40610,65.6,10614,714.2618567,21.3,8639,401,123.0,853.0,0.0,0.0,50.26,24.46,8850,34.62,23.57,15.81,21.41,14.35,97.31,28.3,10.51,0.21,3.23,19.67,1480,2.44,18.4275,-67.1541,0.0,4.1,-1.09148963899387,1.4041695225148305
2013,Aguadilla,72005,59982,0,47917,151,26312,303,25.9,0,40.0,0,15847,22216.79,833,232.95,40418,66.6,10721,765.5181252,21.6,8734,324,101.0,857.0,93.7,0.8,49.55,25.93,9184,33.61,23.1,16.47,22.42,14.47,97.79,28.55,10.19,0.13,3.3,19.64,1643,2.74,18.4275,-67.1541,0.0,4.1,-1.205652732483442,1.3223421767986183
2014,Aguadilla,72005,59068,0,47470,139,27040,339,24.5,0,39.1,0,16767,23132.89,867,236.72,40122,67.7,10742,620.7350481,21.9,8795,370,126.0,852.0,94.0,1.0,49.41,24.52,9938,32.46,22.55,17.21,22.88,14.57,98.21,29.79,10.38,0.16,3.12,18.49,1771,3.0,18.4275,-67.1541,40.0,0.0,-1.5237904704744731,1.0172549300740503
2015,Aguadilla,72005,57973,0,46796,158,27386,277,23.2,0,40.8,0,17267,23793.9,932,237.0,39645,69.7,10505,604.4385825,24.2,9588,331,111.0,831.0,5.6,0.8,49.14,23.25,10297,30.49,22.07,17.93,23.38,14.64,98.28,30.7,10.39,0.16,2.91,17.77,1873,3.23,18.4275,-67.1541,0.0,0.0,-1.8537956253809162,0.6919179153706742
2016,Aguadilla,72005,56893,0,46198,166,27365,247,22.2,0,39.9,0,17191,23392.7,1073,240.01,39257,69.8,10515,659.9060539,23.9,9386,263,98.0,843.0,5.5,0.8,49.68,22.17,10335,30.39,21.46,18.73,23.19,15.02,98.75,0.0,10.29,0.17,2.79,18.35,1963,3.45,18.4275,-67.1541,0.0,0.0,-1.8629361944353384,0.7374128712833175
2017,Aguadilla,72005,55722,0,45638,150,27301,300,22.6,0,39.4,0,16821,22411.53,939,245.12,38792,70.8,10783,607.0230638,23.8,9225,258,112.0,840.0,5.3,0.9,51.63,22.57,10872,29.41,20.88,19.5,22.69,14.44,98.98,0.0,10.6,0.08,2.69,18.49,1982,3.56,18.4275,-67.1541,95.0,4.3,-2.0582496967992525,0.8323567055657207
2018,Aguadilla,72005,54166,0,44762,139,27241,261,20.4,0,39.0,0,16693,21711.45,951,251.1,38065,72.0,10861,688.7931475,23.7,9019,297,116.0,811.0,5.1,0.8,51.33,20.37,11339,28.18,20.22,20.27,21.95,15.1,98.63,0.0,10.49,0.15,2.08,18.5,1753,3.24,18.4275,-67.1541,0.0,0.0,-2.7924338681310834,0.6287834302983337
2019,Aguadilla,72005,52803,0,43916,161,27278,250,20.8,0,39.8,0,16269,20783.13,955,255.65,37449,73.8,11027,577.7412916,23.9,8944,240,94.0,858.0,4.9,0.8,51.55,20.77,11298,26.36,19.61,21.04,22.99,15.05,98.44,0.0,10.18,0.12,2.14,17.98,1501,2.84,18.4275,-67.1541,0.0,4.3,-2.5163386626296913,0.4388573402005408
2020,Aguadilla,72005,51552,0,43260,158,27323,347,17.4,0,38.7,0,16065,20268.57,1007,258.86,36971,74.0,10951,690.9833573,23.9,8848,292,106.0,863.0,5.2,0.8,51.27,17.39,11733,26.21,18.85,21.82,22.84,15.65,98.59,0.0,10.92,0.14,2.04,18.0,1199,2.33,18.4275,-67.1541,45.0,4.05,-2.369183569115396,0.24723320306661725
2021,Aguadilla,72005,55241,0,46631,176,27336,301,17.3,0,38.1,0,16940,20416.77,859,270.97,40042,75.1,11862,848.7361192,24.6,9834,299,115.0,914.0,5.8,0.8,49.66,17.31,12055,25.06,18.1,22.45,23.46,13.36,98.65,0.0,10.16,0.1,1.98,16.77,1009,1.83,18.4275,-67.1541,35.0,0.0,7.15588144009931,-0.09913465211888677
2022,Aguadilla,72005,54752,0,46544,151,27565,621,15.5,0,38.6,0,18348,20477.43,1187,292.63,40147,75.9,12584,800.9600489,24.7,9930,353,115.0,967.0,5.7,0.9,48.68,15.48,12887,24.29,17.37,23.16,24.36,13.88,98.72,33.75,10.79,0.12,2.06,16.29,962,1.76,18.4275,-67.1541,75.0,4.18,-0.8852120707445565,-0.3846913621751465
2023,Aguadilla,72005,54486,0,46580,188,27766,610,16.0,0,39.8,0,19826,21249.98,1370,304.7,40265,77.7,13028,906.5803881,25.5,10256,451,158.0,981.0,5.3,1.0,47.92,15.99,13785,22.51,16.85,23.75,25.91,13.72,99.06,34.09,11.08,0.05,1.93,15.69,867,1.59,18.4275,-67.1541,0.0,0.0,-0.48582700175335836,-0.649852742221898
2024,Aguadilla,72005,54137,0,46599,158,28777,626,14.8,0,41.3,0,21540,22425.08,1608,313.7,40332,78.4,12475,769.0838706,28.1,11328,526,164.0,,4.6,1.1,44.84,14.78,15387,21.83,16.34,24.7,24.73,13.28,98.99,34.01,11.49,0.05,1.55,14.91,944,1.74,18.4275,-67.1541,0.0,4.0,-0.640531512682152,-1.0132510196841997
2011,Aguas Buenas,72007,28745,0,22374,112,10414,146,8.5,0,33.8,0,13792,20025.97,1252,224.92,18551,43.3,5214,404.7974802,15.2,2818,34,31.89043744,139.0,0.0,0.0,56.71,8.51,7115,38.69,25.45,13.2,0.0,12.36,98.79,12.15,1.81,0.44,9.27,19.17,214,0.0,18.2572,-66.1031,65.0,0.0,-0.284455545148643,1.8065975181019354
2012,Aguas Buenas,72007,28573,0,22384,104,10250,152,13.2,0,33.1,0,13994,19906.57,1337,229.59,18601,63.4,5604,546.7952085,14.9,2763,47,37.0,150.0,0.0,0.0,57.31,13.16,6995,37.01,24.93,13.7,22.7,13.6,99.39,12.61,2.41,0.36,6.43,20.14,200,0.7,18.2572,-66.1031,0.0,0.0,-0.5983649330318364,1.4951202190132449
2013,Aguas Buenas,72007,28378,0,22354,111,10492,177,16.5,0,35.1,0,14902,20891.94,1474,232.95,18651,65.4,5958,535.2803004,14.4,2687,51,37.0,148.0,93.2,1.4,53.66,16.51,8058,35.04,24.39,14.36,22.67,12.67,99.4,15.54,3.39,0.36,5.65,18.63,216,0.76,18.2572,-66.1031,0.0,0.0,-0.6824624645644484,1.1098939523700184
2014,Aguas Buenas,72007,28083,0,22309,132,10697,161,21.6,0,37.3,0,15081,20806.77,1239,236.72,18642,65.0,5832,488.7289637,14.2,2649,43,42.0,139.0,93.9,1.5,54.06,21.63,8357,35.47,23.78,15.08,24.93,13.42,99.12,16.92,3.09,0.0,5.2,18.11,229,0.82,18.2572,-66.1031,0.0,0.0,-1.0395376700260806,1.3078023441526132
2015,Aguas Buenas,72007,27693,0,22168,128,10752,158,24.6,0,38.6,0,14824,20427.45,1256,237.0,18577,65.4,5828,559.0939098,14.3,2664,35,39.0,131.0,5.3,1.3,53.59,24.57,8441,35.03,23.12,15.85,26.67,12.61,99.24,17.15,3.45,0.0,4.7,18.24,223,0.81,18.2572,-66.1031,0.0,0.0,-1.3887405191753022,1.3640284291336167
2016,Aguas Buenas,72007,27323,0,22046,118,10790,187,24.6,0,40.1,0,15409,20967.84,1390,240.01,18542,65.8,5746,543.5485259,15.0,2782,14,23.0,131.0,5.1,1.4,50.76,24.56,9647,34.59,22.39,16.65,26.69,13.03,99.46,0.0,3.83,0.0,4.1,18.46,197,0.72,18.2572,-66.1031,0.0,4.6,-1.3360777091683818,1.1750126871085953
2017,Aguas Buenas,72007,26855,0,21897,128,10794,195,20.7,0,42.8,0,16733,22294.28,1797,245.12,18467,66.9,5389,568.6281738,16.8,3110,0,25.0,129.0,6.9,1.7,48.31,20.71,10615,33.53,21.59,17.49,28.01,10.8,99.42,0.0,2.8,0.0,3.04,18.34,206,0.77,18.2572,-66.1031,135.0,0.0,-1.7128426600300117,0.6996057891004698
2018,Aguas Buenas,72007,26275,0,21717,109,10762,236,18.5,0,42.8,0,17255,22442.4,1562,251.1,18327,67.5,5307,512.2889809,17.6,3222,0,25.0,133.0,7.7,1.7,50.47,18.47,10188,32.9,20.68,18.33,30.18,13.17,99.16,0.0,1.72,0.37,2.37,19.18,195,0.74,18.2572,-66.1031,0.0,0.0,-2.1597467883075816,0.7176162207652522
2019,Aguas Buenas,72007,25748,0,21441,115,10698,188,12.7,0,42.4,0,19279,24628.31,2824,255.65,18209,70.7,5416,492.4114134,17.8,3237,0,26.0,147.0,7.5,1.8,46.64,12.74,11097,29.77,19.75,19.23,31.58,13.47,99.65,0.0,2.08,0.36,2.83,18.24,190,0.74,18.2572,-66.1031,40.0,4.6,-2.005708848715504,-0.191338488241206
2020,Aguas Buenas,72007,25298,0,21273,112,10626,225,9.7,0,43.1,0,20190,25472.92,1985,258.86,18128,72.7,5905,605.013223,17.4,3152,12,21.0,136.0,7.6,1.8,44.79,9.68,12245,27.72,18.86,20.11,31.01,14.16,99.63,0.0,1.85,0.36,3.45,16.72,197,0.78,18.2572,-66.1031,45.0,0.0,-1.7477085598881503,-0.7685978840427958
2021,Aguas Buenas,72007,24567,0,20818,122,10790,215,5.7,0,44.5,0,21844,26327.26,2108,270.97,17784,74.1,6034,697.7248741,19.1,3392,79,87.0,143.0,6.6,1.6,42.75,5.7,13057,26.37,18.06,20.88,29.45,14.41,99.68,0.0,1.62,0.33,3.95,13.33,169,0.69,18.2572,-66.1031,0.0,0.0,-2.8895564866787904,-1.5349377313901365
2022,Aguas Buenas,72007,24136,0,20594,130,10707,393,5.2,0,43.3,0,23160,25847.9,2100,292.63,17285,73.8,5727,576.3132829,19.5,3379,131,159.0,159.0,4.3,1.5,42.91,5.19,14065,26.66,17.26,21.88,29.44,15.82,99.68,17.04,2.04,0.35,3.69,13.27,174,0.72,18.2572,-66.1031,75.0,0.0,-1.7543859649122862,-1.5335200624425416
2023,Aguas Buenas,72007,23888,0,20492,134,10641,355,4.5,0,43.5,0,22361,23967.06,2086,304.7,17713,75.8,5777,588.8735008,20.4,3619,134,125.0,165.0,3.9,1.5,43.63,4.46,14407,24.66,16.54,22.62,29.95,13.19,99.94,16.7,2.55,0.0,3.65,12.6,149,0.62,18.2572,-66.1031,0.0,0.0,-1.027510772290352,-1.7636902744172651
2024,Aguas Buenas,72007,23614,0,20425,136,10959,307,5.0,0,44.5,0,23072,24020.03,2719,313.7,17691,77.8,5897,573.8379562,22.3,3941,151,159.0,,3.2,1.3,45.45,5.0,15546,22.6,15.88,23.32,28.41,13.18,99.94,16.38,2.94,0.0,2.96,13.56,148,0.63,18.2572,-66.1031,0.0,0.0,-1.147019423978568,-1.639520491883618
2011,Aibonito,72009,26011,0,20295,101,9598,109,12.0,0,38.7,0,15736,22848.66,1440,224.92,16808,47.4,4577,371.2276929,20.1,3384,32,37.05401463,272.0,0.0,0.0,51.15,11.97,8473,32.92,24.7,14.11,0.0,14.98,99.73,22.95,2.65,0.0,5.36,23.5,85,0.0,18.1408,-66.2663,65.0,0.0,-0.5733725775008636,1.659737403740821
2012,Aibonito,72009,25823,0,20332,86,9556,125,10.0,0,36.9,0,16235,23094.41,1444,229.59,16868,70.4,4734,353.2364647,22.7,3824,25,28.0,287.0,0.0,0.0,48.92,10.02,8674,30.1,24.04,14.64,31.4,14.69,99.81,21.87,2.61,0.0,5.93,22.23,58,0.22,18.1408,-66.2663,0.0,0.0,-0.7227711352889132,0.28874745381862427
2013,Aibonito,72009,25560,0,20364,79,9766,157,10.0,0,34.9,0,16189,22696.26,1261,232.95,16888,71.9,4982,420.2868068,23.0,3878,24,27.0,285.0,94.7,1.2,47.51,10.04,8955,28.62,23.38,15.23,28.8,15.43,99.74,20.46,2.33,0.19,5.7,20.77,45,0.18,18.1408,-66.2663,0.0,0.0,-1.018471904890994,-0.011608331071088423
2014,Aibonito,72009,25241,0,20247,99,9865,171,9.5,0,33.0,0,16962,23401.92,1383,236.72,16892,72.6,5324,430.926908,21.0,3554,25,27.0,278.0,95.8,0.9,48.54,9.52,8766,27.92,22.71,15.93,27.57,14.0,99.81,17.4,3.14,0.27,6.05,18.93,36,0.14,18.1408,-66.2663,0.0,0.0,-1.248043818466349,-0.1979003589300475
2015,Aibonito,72009,24829,0,20025,92,9986,178,6.0,0,31.4,0,17307,23849.02,1385,237.0,16827,73.5,5464,431.3351365,20.6,3471,25,27.0,266.0,2.9,0.8,47.19,6.05,8867,26.96,22.12,16.63,28.24,13.88,99.81,15.14,3.04,0.53,5.93,16.62,25,0.1,18.1408,-66.2663,45.0,0.0,-1.6322649657303567,-0.8016534877049223
2016,Aibonito,72009,24438,0,19898,99,9961,170,6.0,0,32.1,0,18145,24690.86,1465,240.01,16805,73.9,5759,438.5533035,20.8,3488,81,68.0,262.0,2.3,0.8,46.8,6.0,9262,26.6,21.38,17.51,26.21,14.37,99.77,0.0,3.12,0.55,5.86,15.57,24,0.1,18.1408,-66.2663,0.0,4.6,-1.5747714366265209,-0.9198492170807249
2017,Aibonito,72009,24008,0,19648,113,9945,182,6.4,0,33.2,0,18387,24498.0,1257,245.12,16735,74.2,5887,422.5683377,19.3,3231,94,72.0,279.0,2.8,1.0,49.22,6.4,10224,26.25,20.75,18.37,26.67,13.5,99.65,0.0,3.8,0.55,5.44,15.86,32,0.13,18.1408,-66.2663,135.0,0.0,-1.7595547917178211,-0.7536232784255388
2018,Aibonito,72009,23457,0,19311,128,9800,196,5.4,0,36.3,0,19720,25648.46,1401,251.1,16597,76.6,5964,491.4275125,19.8,3282,128,80.0,271.0,2.9,1.1,45.94,5.38,10630,23.89,20.01,19.27,26.08,14.5,99.82,0.0,3.93,0.36,4.96,14.48,27,0.12,18.1408,-66.2663,0.0,0.0,-2.295068310563142,-1.3302858764846097
2019,Aibonito,72009,22988,0,19053,114,9913,189,5.1,0,38.6,0,20521,26214.92,1842,255.65,16500,78.1,5705,473.6771052,21.8,3594,155,85.0,278.0,3.5,1.0,43.62,5.08,11363,22.43,19.29,20.24,26.73,14.2,99.82,0.0,3.86,0.26,4.07,14.01,25,0.11,18.1408,-66.2663,40.0,4.6,-1.9994031632348586,-1.6723421353192411
2020,Aibonito,72009,22545,0,18889,97,10004,180,6.0,0,39.6,0,20631,26029.31,1718,258.86,16415,78.4,5811,529.0907295,23.0,3777,232,133.0,287.0,4.3,1.0,44.83,6.01,12078,22.09,18.55,21.25,28.41,14.25,99.72,0.0,4.33,0.0,3.91,14.08,29,0.13,18.1408,-66.2663,45.0,5.0,-1.9270923960327146,-1.611317819970881
2021,Aibonito,72009,24565,0,20873,108,9852,184,7.5,0,39.1,0,21139,25477.57,2210,270.97,18117,79.2,6637,561.079317,22.7,4107,350,170.0,289.0,3.8,1.1,43.72,7.53,12370,21.28,17.79,22.41,30.41,11.78,99.77,0.0,4.22,0.0,3.37,13.67,28,0.11,18.1408,-66.2663,35.0,0.0,8.959858061654469,-1.764258384731627
2022,Aibonito,72009,24555,0,21052,114,10095,314,6.4,0,39.8,0,22511,25123.58,1974,292.63,18353,79.8,6616,668.9730936,22.6,4148,345,184.0,312.0,3.5,1.1,42.47,6.44,13395,20.61,17.04,23.41,31.46,12.35,99.84,31.84,4.41,0.0,2.59,13.23,43,0.18,18.1408,-66.2663,75.0,0.0,-0.04070832485243425,-2.0237863971717194
2023,Aibonito,72009,24610,0,21234,119,10417,357,6.4,0,38.2,0,21714,23273.59,1921,304.7,18597,78.7,6767,620.0967666,23.4,4346,336,175.0,310.0,3.4,1.0,44.64,6.38,13689,21.7,16.41,24.31,35.03,10.56,99.86,31.96,5.26,0.0,1.73,14.39,48,0.2,18.1408,-66.2663,0.0,0.0,0.22398696803094253,-1.7625234063884136
