scenario,p50,baseline_p50,abs_impact_vs_baseline,pct_impact_vs_baseline
hurricane_cat5_maria_like,2335408.7378214,2800503.076482268,-465094.3386608679,-16.607528217575688
hurricane_cat4,2477597.302971372,2800503.076482268,-322905.77351089614,-11.530277407032894
hurricane_cat3,2592899.063237939,2800503.076482268,-207604.01324432902,-7.413097132001794
earthquake_m7_2,2598869.382197314,2800503.076482268,-201633.6942849541,-7.199909758293415
earthquake_m7_5,2598869.382197314,2800503.076482268,-201633.6942849541,-7.199909758293415
earthquake_m6_8,2642648.011575165,2800503.076482268,-157855.06490710285,-5.636668148402312
hurricane_cat2,2677850.640028027,2800503.076482268,-122652.43645424116,-4.3796572653048385
earthquake_m6_5,2687018.5433967137,2800503.076482268,-113484.53308555437,-4.052290962954524
earthquake_m6_0,2731987.0021159677,2800503.076482268,-68516.07436630037,-2.446563081529048
hurricane_cat1,2738628.4090083297,2800503.076482268,-61874.667473938316,-2.2094125871005836
