municipio,region,year,p05,p10,p25,p50,p75,p90,p95,scenario,baseline_p50,abs_impact_vs_baseline,pct_impact_vs_baseline
Adjuntas,Central Mountains,2030,14299.674047761779,14524.568168031134,14981.186305579045,15600.014532777845,16103.662736139007,16536.437374690355,16764.287446517978,baseline,15600.014532777845,0.0,0.0
Aguada,West,2030,30096.431708227283,30809.513666113296,31642.09221262314,32568.39396648024,33822.991961254476,34719.59443517109,35394.77561249934,baseline,32568.39396648024,0.0,0.0
Aguadilla,West,2030,40150.55841140933,41471.887683572015,43820.7717494597,46711.722970192684,49674.3093991856,52263.42579407271,55063.3076826935,baseline,46711.722970192684,0.0,0.0
Aguas Buenas,Central Mountains,2030,19401.142527699285,19607.786163839388,20047.488608303574,20510.680681744376,20920.18192099977,21343.339748785376,21640.43405859499,baseline,20510.680681744376,0.0,0.0
Aibonito,Central Mountains,2030,17598.752428868935,18273.833876457003,19558.795186024832,21549.164234152406,22929.145440665434,24430.362077449445,25496.663512383668,baseline,21549.164234152406,0.0,0.0
Arecibo,North,2030,66341.41474784339,67846.797940828,71681.97258600843,75175.79700653075,78845.34290780664,82352.21404960565,85328.07874480232,baseline,75175.79700653075,0.0,0.0
Arroyo,South,2030,11529.75682616575,11892.85603802095,12474.118815719856,13160.551518361613,13797.464271922452,14300.301160188237,14855.014608659394,baseline,13160.551518361613,0.0,0.0
Añasco,West,2030,20629.457440156686,20854.42522691013,21263.77495307304,21715.54323079694,22248.780179995887,22753.538620509134,23046.240842944117,baseline,21715.54323079694,0.0,0.0
Barceloneta,North,2030,17817.754630593427,18190.15996067269,18814.18673465906,19408.38915473382,20175.657825092952,20918.3294350443,21365.203960106875,baseline,19408.38915473382,0.0,0.0
Barranquitas,Central Mountains,2030,22835.67128717471,23291.071977474778,24307.793191176737,25313.920172988455,26151.995286323316,27029.461424784626,27395.533260494612,baseline,25313.920172988455,0.0,0.0
Bayamón,Metro,2030,135866.1968528764,138577.61697192257,147058.12378043385,156902.74167779938,167212.5530075178,176427.62752065822,183432.63972193337,baseline,156902.74167779938,0.0,0.0
Cabo Rojo,West,2030,38921.18696270747,39211.68171905266,39825.46317745198,40543.96741601448,41382.08930343138,42108.45939679349,42645.514420364925,baseline,40543.96741601448,0.0,0.0
Caguas,East,2030,102829.14002462663,103994.26715611524,106349.01529759153,108592.64469146203,111018.09912124893,114107.01098211606,117020.8638535867,baseline,108592.64469146203,0.0,0.0
Camuy,North,2030,24692.54843598692,25622.519530217414,26897.95625100059,28289.04159455817,29816.18760784783,31232.622837350995,31956.253806309236,baseline,28289.04159455817,0.0,0.0
Canóvanas,East,2030,32890.1797476329,33292.170488444564,34756.188227186474,36253.1792731491,37629.68322406664,38861.81142604315,39467.810042256926,baseline,36253.1792731491,0.0,0.0
Carolina,Metro,2030,118178.41857817066,120475.65231033073,125323.78561543312,131226.06253544748,137025.5928352899,142009.32708611342,144405.3891367349,baseline,131226.06253544748,0.0,0.0
Cataño,Metro,2030,18388.938959931023,18660.07748090742,19055.79363874963,19480.10528452896,19844.202133053976,20233.96252891373,20365.89273631085,baseline,19480.10528452896,0.0,0.0
Cayey,Central Mountains,2030,33731.95230326457,34085.58977336689,34700.70543041806,35506.056745983,36243.14661676932,37032.66056147467,37394.95509647565,baseline,35506.056745983,0.0,0.0
Ceiba,East,2030,8689.15950235422,8966.62502743063,9331.17838857563,9596.129160304234,9933.425652849508,10244.051715947582,10513.557621229258,baseline,9596.129160304234,0.0,0.0
Ciales,Central Mountains,2030,12819.678738634597,13255.676922007515,13832.123376433094,14558.878643179347,15456.91903103952,16266.641139291052,16647.682432181642,baseline,14558.878643179347,0.0,0.0
Cidra,Central Mountains,2030,31591.30681404332,32407.9643545709,33150.12944068083,34449.29369099025,35839.977296038065,36846.988362837896,37662.9314401886,baseline,34449.29369099025,0.0,0.0
Coamo,South,2030,25327.227837330236,26162.010976263584,27711.317133025732,29520.510152782776,31572.40747665363,33526.495862463824,34433.3203992288,baseline,29520.510152782776,0.0,0.0
Comerío,Central Mountains,2030,15485.826179044634,15621.979353471927,15962.589181188188,16310.975935526356,16566.131224210374,16906.850173886476,17089.134881760394,baseline,16310.975935526356,0.0,0.0
Corozal,Central Mountains,2030,26650.555232133975,27235.881905814487,28747.350994262764,30160.214554681897,31522.81051848376,32497.963789938236,33461.84466863866,baseline,30160.214554681897,0.0,0.0
Culebra,East,2030,843.7990683299828,939.1414974406501,1046.9109589032112,1246.8664388394513,1443.1445330152637,1605.5658154418174,1758.4804978124585,baseline,1246.8664388394513,0.0,0.0
Dorado,North,2030,29286.478476246804,29780.114138859186,30456.021405780186,31254.09846805875,31939.481243370687,32556.45053318295,32946.263613027106,baseline,31254.09846805875,0.0,0.0
Fajardo,East,2030,23241.123697115698,23957.400989356243,25114.51966274501,27373.249106107138,29256.873107937252,30813.997009937808,32232.198214614178,baseline,27373.249106107138,0.0,0.0
Florida,North,2030,9266.504226370695,9435.329232587339,9648.603717566293,9956.632954937322,10298.270422295749,10504.039418390965,10652.68013054347,baseline,9956.632954937322,0.0,0.0
Guayama,South,2030,27283.1436831651,28070.01974222011,29223.738796667305,30623.739166124647,31772.74469546753,33408.88290048439,34183.430463808174,baseline,30623.739166124647,0.0,0.0
Guayanilla,South,2030,13996.863271248752,14256.610656427833,14545.54236875958,14828.913343772288,15231.155644946502,15591.105325299013,15891.503399580348,baseline,14828.913343772288,0.0,0.0
Guaynabo,Metro,2030,68759.98541254028,70624.07917899541,74238.7860765158,77715.8245290668,81619.98887886592,84845.30688907181,88297.75509988389,baseline,77715.8245290668,0.0,0.0
Gurabo,East,2030,27299.39533744851,28362.08358950281,31554.71921291897,34495.71063609977,37305.85776508865,40854.59904076705,41975.498882595995,baseline,34495.71063609977,0.0,0.0
Guánica,West,2030,9616.761276455369,9983.831071854871,10555.136554724038,11084.828031593845,11675.465392645157,12254.785530411167,12609.193107563804,baseline,11084.828031593845,0.0,0.0
