scenario,municipio,region,p50,baseline_p50,abs_impact_vs_baseline,pct_impact_vs_baseline
earthquake_m7_5,Arroyo,South,12010.110578701391,13160.551518361613,-1150.4409396602223,-8.741586080607078
earthquake_m7_5,Hormigueros,West,12312.83351244282,13392.318669501756,-1079.4851570589362,-8.060479919113941
earthquake_m7_5,Rincón,West,12254.513338884688,13328.837244701675,-1074.3239058169875,-8.06014722885179
earthquake_m7_5,Ciales,Central Mountains,13486.145050148243,14558.878643179347,-1072.7335930311037,-7.36824325088846
earthquake_m7_5,Luquillo,East,14176.661089416795,15193.948895806192,-1017.2878063893968,-6.695348347987315
earthquake_m7_5,Jayuya,Central Mountains,11750.043197565123,12686.645047744147,-936.601850179024,-7.382581026380684
earthquake_m7_5,Guánica,West,10189.722480014334,11084.828031593845,-895.1055515795106,-8.075051313636001
earthquake_m7_5,Ceiba,East,8954.958003705196,9596.129160304234,-641.1711565990372,-6.68156030299523
earthquake_m7_5,Florida,North,9324.108152077875,9956.632954937322,-632.5248028594469,-6.352798237337742
earthquake_m7_5,Las Marías,West,6941.088798946645,7550.410805216625,-609.3220062699802,-8.070051047407857
earthquake_m7_5,Maunabo,East,8420.910942573282,9024.84194767252,-603.9310050992372,-6.691873482116651
earthquake_m7_5,Vieques,East,6535.667265020886,7004.709148534811,-469.0418835139253,-6.696093635979671
earthquake_m7_5,Maricao,West,3932.818601888176,4277.046543060134,-344.22794117195826,-8.048262690301952
earthquake_m7_5,Culebra,East,1164.0296157740254,1246.8664388394513,-82.83682306542596,-6.643600347646551
hurricane_cat1,San Juan,Metro,283321.72928893665,289431.64590439474,-6109.916615458089,-2.1110050341476208
hurricane_cat1,Bayamón,Metro,153588.56509861458,156902.74167779938,-3314.176579184801,-2.1122489917929417
hurricane_cat1,Carolina,Metro,128464.40089245439,131226.06253544748,-2761.6616429930873,-2.1045069779847223
hurricane_cat1,Caguas,East,105848.35687987297,108592.64469146203,-2744.2878115890635,-2.5271396781856166
hurricane_cat1,Ponce,South,111988.74219219336,114649.38023057082,-2660.6380383774667,-2.320673721067371
hurricane_cat1,Guaynabo,Metro,76079.8102541541,77715.8245290668,-1636.0142749126971,-2.105123743878964
hurricane_cat1,Arecibo,North,73672.47141945551,75175.79700653075,-1503.3255870752328,-1.9997467894415997
hurricane_cat1,Toa Baja,Metro,61752.265444672485,63082.72121924925,-1330.455774576767,-2.1090652858056917
hurricane_cat1,Mayagüez,West,60294.22815622564,61592.12087609472,-1297.8927198690799,-2.1072382334098534
hurricane_cat1,Trujillo Alto,Metro,56708.796072470126,57932.11465003071,-1223.3185775605816,-2.111641504803818
hurricane_cat1,Toa Alta,Metro,56413.23044442096,57628.66421612508,-1215.4337717041199,-2.1090785084760464
hurricane_cat1,Humacao,East,42446.070522574024,43545.550044930904,-1099.47952235688,-2.5248952446861312
hurricane_cat1,Río Grande,East,38804.22824966423,39812.077682038056,-1007.8494323738269,-2.531516793529559
hurricane_cat1,Aguadilla,West,45727.67838994517,46711.722970192684,-984.0445802475151,-2.106633019885492
hurricane_cat1,Vega Baja,North,45401.14609108235,46329.54681641854,-928.4007253361851,-2.0039063386805522
hurricane_cat1,Juana Díaz,South,39066.869406071404,39994.66517273764,-927.7957666662332,-2.319798809813928
hurricane_cat1,Canóvanas,East,35336.3957560648,36253.1792731491,-916.7835170843027,-2.5288361888947986
hurricane_cat1,Gurabo,East,33623.90594058081,34495.71063609977,-871.8046955189639,-2.5272843476563143
hurricane_cat1,Cabo Rojo,West,39688.37766773269,40543.96741601448,-855.5897482817891,-2.1102763316247124
hurricane_cat1,San Lorenzo,East,31849.419547504498,32673.639341861868,-824.2197943573701,-2.522583375955214
hurricane_cat1,Juncos,East,31242.876705126495,32052.989371269712,-810.1126661432172,-2.527416886954548
hurricane_cat1,Cayey,Central Mountains,34720.23173008415,35506.056745983,-785.8250158988449,-2.213213991969834
hurricane_cat1,Isabela,West,36436.51772167614,37221.41004842993,-784.8923267537903,-2.1087119637126657
hurricane_cat1,Las Piedras,East,29435.707040815818,30198.7787285634,-763.0716877475825,-2.526829626477027
hurricane_cat1,Cidra,Central Mountains,33687.29977328984,34449.29369099025,-761.9939177004126,-2.21192900073798
hurricane_cat1,San Sebastián,West,33547.50278866962,34265.764456680976,-718.261668011357,-2.096149551600953
hurricane_cat1,Guayama,South,29914.317041213784,30623.739166124647,-709.4221249108632,-2.316575781495721
hurricane_cat1,Fajardo,East,26681.0835485704,27373.249106107138,-692.1655575367367,-2.528620387202447
hurricane_cat1,Aguada,West,31881.681585963444,32568.39396648024,-686.7123805167939,-2.1085239303588814
hurricane_cat1,Coamo,South,28834.352906113993,29520.510152782776,-686.157246668783,-2.324340748576467
hurricane_cat1,Moca,West,31518.49382003823,32200.227564016765,-681.7337439785333,-2.117170577826474
hurricane_cat1,Manatí,North,33148.46105994499,33826.163114067414,-677.7020541224265,-2.0034848523526096
hurricane_cat1,Corozal,Central Mountains,29491.947742482454,30160.214554681897,-668.2668121994429,-2.215723004847474
hurricane_cat1,Hatillo,North,32613.61550332165,33279.90417461506,-666.2886712934123,-2.00207508951194
hurricane_cat1,Yauco,South,27922.43793234586,28586.127429302716,-663.6894969568566,-2.3217188078316964
hurricane_cat1,Yabucoa,East,24770.799131997002,25412.82085392617,-642.0217219291662,-2.526369369301939
