municipio,region,year,p05,p10,p25,p50,p75,p90,p95,scenario,baseline_p50,abs_impact_vs_baseline,pct_impact_vs_baseline
Adjuntas,Central Mountains,2030,14625.117395854344,14844.451770284733,15319.061834836712,15952.865950878464,16460.598258238017,16917.107130235632,17141.417046135677,baseline,15952.865950878464,0.0,0.0
Aguada,West,2030,30745.96809678845,31506.444728679246,32341.50913280094,33314.010737823926,34593.95427488126,35519.19353322008,36201.81299524095,baseline,33314.010737823926,0.0,0.0
Aguadilla,West,2030,41001.495932470934,42363.34055362464,44718.11738639607,47699.875745195975,50832.16244558774,53501.82109383858,56373.67241153099,baseline,47699.875745195975,0.0,0.0
Aguas Buenas,Central Mountains,2030,19839.323990865032,20045.816538619725,20502.790313126556,20980.210019320573,21397.19420753859,21827.48918307458,22122.564599604288,baseline,20980.210019320573,0.0,0.0
Aibonito,Central Mountains,2030,17953.841755895657,18670.20358994601,19985.425324198764,22048.661472905784,23455.369754704217,24995.429817142496,26100.01697731175,baseline,22048.661472905784,0.0,0.0
Arecibo,North,2030,67784.43616308621,69241.37201245718,73235.9063532706,76900.55443330629,80736.17059441988,84232.26738951176,87336.87661237124,baseline,76900.55443330629,0.0,0.0
Arroyo,South,2030,11763.258042238036,12136.637732820396,12752.115495526725,13460.42742016408,14122.0814940538,14618.715887306806,15203.400034428621,baseline,13460.42742016408,0.0,0.0
Añasco,West,2030,21104.79968712389,21323.624037120186,21747.573234855743,22195.246827106355,22754.57459954589,23269.963390566387,23567.344863660535,baseline,22195.246827106355,0.0,0.0
Barceloneta,North,2030,18206.739801162046,18594.571931509272,19220.214209219048,19846.25882618445,20633.418092000204,21396.011991051702,21849.55567314152,baseline,19846.25882618445,0.0,0.0
Barranquitas,Central Mountains,2030,23340.921843950862,23825.3841291166,24843.152212703488,25887.01254667347,26760.389699922613,27637.24202042049,28023.681246580945,baseline,25887.01254667347,0.0,0.0
Bayamón,Metro,2030,138639.40447976676,141446.96714441123,150275.80210347712,160532.46994954243,170964.12820684043,180847.27512982726,187879.10857530858,baseline,160532.46994954243,0.0,0.0
Cabo Rojo,West,2030,39794.329129205544,40094.65940853741,40728.47450384999,41459.86937764862,42309.193142310556,43059.726917221815,43593.099461965685,baseline,41459.86937764862,0.0,0.0
Caguas,East,2030,105178.371346489,106360.99458360055,108740.00321124111,111077.45194095813,113519.6901509538,116657.61002614477,119623.25851302559,baseline,111077.45194095813,0.0,0.0
Camuy,North,2030,25218.929749050538,26152.30554293524,27472.947599675463,28891.288087283578,30491.956209655084,31953.65447169101,32733.034167419384,baseline,28891.288087283578,0.0,0.0
Canóvanas,East,2030,33608.73938557396,34028.76299101286,35523.13087162722,37081.33596547195,38472.628563911436,39744.36157729234,40370.48753327569,baseline,37081.33596547195,0.0,0.0
Carolina,Metro,2030,120597.74574288308,123005.18326241063,128104.01308661938,134149.2318856066,140161.80491134635,145253.1810085013,147693.51369029348,baseline,134149.2318856066,0.0,0.0
Cataño,Metro,2030,18808.353248999814,19083.194592678363,19485.547882653635,19918.13075189707,20290.764482956336,20687.125522726725,20831.858017941013,baseline,19918.13075189707,0.0,0.0
