region,year,p05,p10,p25,p50,p75,p90,p95,scenario,baseline_p50,abs_impact_vs_baseline,pct_impact_vs_baseline
Central Mountains,2030,331894.3699297494,334013.61887415696,338424.1962848567,343158.4535760998,347342.1266834033,351685.0547998803,353377.70178099914,baseline,343158.4535760998,0.0,0.0
East,2030,480018.3561476017,481937.3815201301,486197.8981407614,493026.12960381317,498911.59918590036,503679.2094171974,506386.97168340976,baseline,493026.12960381317,0.0,0.0
Metro,2030,801506.2332482508,814270.9549058803,832919.0680871266,853573.4886306203,876557.9229581122,898156.4158652703,909405.3289393015,baseline,853573.4886306203,0.0,0.0
North,2030,316101.84566752234,318815.77205625887,323448.2608231694,328198.75240361365,333286.15822879365,337889.68503711285,340277.90249035065,baseline,328198.75240361365,0.0,0.0
South,2030,346162.4491004117,349141.1848060867,353503.333142115,360559.50191759854,365406.2072251768,372233.30800761696,376311.527401378,baseline,360559.50191759854,0.0,0.0
West,2030,410674.1973348486,413915.99583006365,418123.80168287863,423128.3641478759,428603.03825524816,434843.4522597496,439267.8149384885,baseline,423128.3641478759,0.0,0.0
Central Mountains,2030,324503.4077112484,326592.9035743851,330922.53464155114,335569.94918547384,339679.1173433835,343940.964366391,345606.06866410497,hurricane_cat1,343158.4535760998,-7588.504390625982,-2.2113703776040396
East,2030,467846.7541923358,469722.08515958744,473891.4087610638,480580.28164041246,486334.53280169127,491011.1046045702,493659.51259099256,hurricane_cat1,493026.12960381317,-12445.847963400709,-2.524378976303338
Metro,2030,784388.9355823749,796931.4767198124,815257.6058893006,835589.6971683867,858147.8063747301,879363.8235498304,890465.2337089208,hurricane_cat1,853573.4886306203,-17983.79146223364,-2.106882617814766
North,2030,309729.49549066747,312399.1969948246,316954.8575699708,321625.7330431657,326632.758419717,331160.49007117766,333510.07310077694,hurricane_cat1,328198.75240361365,-6573.019360447943,-2.0027557424607596
South,2030,338085.0155365713,341013.0068012419,345286.2677679087,352199.91126436525,356967.3800122052,363653.59572136076,367659.5179189304,hurricane_cat1,360559.50191759854,-8359.590653233288,-2.3185051590025134
West,2030,401969.9998628397,405149.8728471025,409296.70409027906,414210.9649327484,419592.49396888685,425724.05508204154,430071.676919887,hurricane_cat1,423128.3641478759,-8917.399215127516,-2.10749265960602
Central Mountains,2030,317243.7095015379,319303.68639111525,323553.53764892236,328115.3035838773,332150.9852052955,336332.8670308219,337970.7919576759,hurricane_cat2,343158.4535760998,-15043.149992222548,-4.3837328894147545
East,2030,455921.5536961358,457753.9438936319,461833.5647122013,468385.20382445573,474009.2524761565,478597.3257595386,481187.3724232104,hurricane_cat2,493026.12960381317,-24640.925779357436,-4.997894492764194
Metro,2030,767563.1610166773,779886.4321247949,797894.8338830739,817908.1863884755,840046.0675031515,860884.7653071707,871839.7901774794,hurricane_cat2,853573.4886306203,-35665.302242144826,-4.1783516846759525
North,2030,303459.58460859454,306085.5855173475,310565.39616731054,315157.69238512404,320085.27884331706,324538.1442555281,326849.5805422549,hurricane_cat2,328198.75240361365,-13041.060018489603,-3.973525165157213
South,2030,330157.9770681123,333035.82760081044,337221.5916540365,343994.9531478434,348684.0730923021,355231.66328224726,359166.24471845204,hurricane_cat2,360559.50191759854,-16564.548769755114,-4.594123489093553
West,2030,393412.94944091706,396531.8091630182,400618.2399659767,405443.44760325213,410733.05271803,416757.1686172438,421029.10364556045,hurricane_cat2,423128.3641478759,-17684.91654462379,-4.179562998627817
Central Mountains,2030,307096.9632899927,309118.89329852903,313253.0566580566,317694.51710361656,321626.96516687644,325696.5271262253,327296.246926206,hurricane_cat3,343158.4535760998,-25463.93647248327,-7.420460200563385
East,2030,439305.5918579103,441077.92761154973,445031.95307904016,451391.187395619,456833.2650927073,461296.96827249194,463805.3413560343,hurricane_cat3,493026.12960381317,-41634.942208194174,-8.444773959881449
Metro,2030,744024.6928686886,756039.7188896609,773601.5299714757,793165.7240975248,814713.7330136227,835022.2524111399,845770.0966239729,hurricane_cat3,853573.4886306203,-60407.76453309553,-7.077043199878093
North,2030,294677.8316844106,297242.30507913884,301615.438275233,306097.257770467,310912.97907956206,315260.48925297527,317518.2672738887,hurricane_cat3,328198.75240361365,-22101.49463314662,-6.734179966036723
South,2030,319090.37792846904,321897.6385262621,325960.78862785985,332537.588102707,337116.3116548116,343469.7333573016,347304.0418640969,hurricane_cat3,360559.50191759854,-28021.913814891537,-7.771786256043699
West,2030,381440.1631015947,384473.4245459513,388474.561567971,393174.69188276865,398335.07287607144,404208.11401536985,408373.73205869773,hurricane_cat3,423128.3641478759,-29953.672265107278,-7.079098165737477
Central Mountains,2030,293326.0381357015,295301.5338555189,299273.56076254626,303548.6281888668,307339.95336952654,311254.8851252106,312803.4485532668,hurricane_cat4,343158.4535760998,-39609.82538723305,-11.5427217294092
East,2030,416854.8256845987,418546.8510768151,422330.7584391962,428425.69976682094,433620.83311548317,437914.4373155815,440311.7693328667,hurricane_cat4,493026.12960381317,-64600.42983699223,-13.102840997272084
Metro,2030,712037.2662426062,723630.4977974953,740587.6394662025,759513.3862207714,780271.3370455801,799854.8551073921,810276.3337124799,hurricane_cat4,853573.4886306203,-94060.10240984894,-11.019566992497467
North,2030,282723.6218326297,285203.7200281871,289430.7803099614,293766.65879252076,298423.67429991043,302626.80491027446,304811.0932986357,hurricane_cat4,328198.75240361365,-34432.09361109289,-10.491232327644209
