year,p05,p10,p25,p50,p75,p90,p95,observed_population,abs_error,pct_error
2018,3320518.172354933,3322778.06375168,3327608.5909798206,3331147.9285112843,3335388.0395830194,3339944.7028462137,3341232.420959163,3386941.0,-55793.07148871571,-1.6472997754822334
2019,3154522.3551455927,3158788.4993868233,3167670.861841619,3177221.654987735,3186079.3904012656,3193074.4473553,3197388.4191059903,3318447.0,-141225.3450122648,-4.255766176535735
2020,3007125.8805322107,3011277.800928936,3023519.695991101,3038306.019001704,3051975.659556639,3064782.4676512657,3071582.4104391783,3255642.0,-217335.98099829582,-6.675671987223898
2021,2873514.131461488,2878030.936699086,2889644.853545883,2909379.4031473245,2927519.6930905427,2947333.3493024358,2956997.515668904,3311274.0,-401894.59685267555,-12.13715919771893
