year,p05,p10,p25,p50,p75,p90,p95,observed_population,abs_error,pct_error
2018,3320702.736482455,3322981.7937968317,3327875.310368612,3331446.736774047,3335721.1974453367,3340329.074220782,3341620.489724292,3386941.0,-55494.263225953095,-1.638477411503569
2019,3156856.2325011436,3161051.118951319,3170058.9712208128,3179653.4331143512,3188558.560411879,3195496.7079368136,3199887.0100756846,3318447.0,-138793.56688564876,-4.182485568871486
2020,3013803.875945336,3017957.493198826,3030317.539414829,3045089.652243712,3058774.4491592883,3071587.3424281785,3078295.814833385,3255642.0,-210552.347756288,-6.467306532975309
2021,2886787.2622120604,2891322.5390475937,2903227.489436179,2922756.728339513,2940761.5521163363,2960612.0691528,2970134.944391626,3311274.0,-388517.27166048717,-11.733165895075043
