year,total_population,weighted_avg_change_pct,simple_avg_change_pct,n_municipios
2013,3682966.0,-0.9042000172610833,-0.7922990875598602,78.0
2014,3638965.0,-1.1904519824401363,-0.9632676191351578,78.0
2015,3583073.0,-1.5317165765611926,-1.3922294799857995,78.0
2016,3529385.0,-1.4944313738287953,-1.379120933969089,78.0
2017,3468963.0,-1.7082164430502065,-1.5744149181583524,78.0
2018,3386941.0,-2.3599799807744177,-2.3204144507962194,78.0
2019,3318447.0,-2.018167507060119,-1.8848457711072535,78.0
2020,3255642.0,-1.8882245278357699,-1.7026224108670072,78.0
2021,3311274.0,1.9286933076587511,0.7459492088053806,78.0
2022,3272382.0,-1.1709724409567148,-1.2918666696916272,78.0
2023,3254885.0,-0.532047922406882,-0.45842967737984053,78.0
2024,3234309.0,-0.6294864390087499,-0.567062506924432,78.0
