round,specification_name,target_name,feature_set_name,model_name,n_features,train_years,test_years,test_r2,test_rmse,test_mae
Round2_RegimeIndicators,besttarget_baseline_features,target_pop_change_3y_avg,besttarget_baseline_features,RandomForest,11,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",[2021],-1.0369182618355564,1.0616568697441828,0.8675833531455825
Round2_RegimeIndicators,besttarget_baseline_features,target_pop_change_3y_avg,besttarget_baseline_features,HistGradientBoosting,11,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",[2021],-1.2456689405208086,1.1147314128106123,0.9292562894048003
Round2_RegimeIndicators,besttarget_plus_regime_flags,target_pop_change_3y_avg,besttarget_plus_regime_flags__momentum_only,MomentumOnly_Ridge,2,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",[2021],-0.588787261605848,0.9376273090101531,0.7240172285364668
Round2_RegimeIndicators,besttarget_plus_regime_flags,target_pop_change_3y_avg,besttarget_plus_regime_flags__naive_zero,NaiveZero,0,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",[2021],-1.0783241379411694,1.072393107960378,0.8645447501592781
Round2_RegimeIndicators,besttarget_plus_regime_flags,target_pop_change_3y_avg,besttarget_plus_regime_flags,Ridge,14,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",[2021],-0.6798414858959467,0.9641209603103045,0.7604889179586971
Round2_RegimeIndicators,besttarget_plus_regime_flags,target_pop_change_3y_avg,besttarget_plus_regime_flags,Lasso,14,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",[2021],-0.4922503659951827,0.908695171669996,0.7003963841935388
Round2_RegimeIndicators,besttarget_plus_regime_flags,target_pop_change_3y_avg,besttarget_plus_regime_flags,RandomForest,14,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",[2021],-2.095304642297107,1.3087270319916757,1.0070916495470972
Round2_RegimeIndicators,besttarget_plus_regime_flags,target_pop_change_3y_avg,besttarget_plus_regime_flags,HistGradientBoosting,14,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",[2021],-1.599712362912832,1.1993888941699444,0.9636947507371995
Round2_RegimeIndicators,besttarget_plus_regimes_and_interactions,target_pop_change_3y_avg,besttarget_plus_regimes_and_interactions__momentum_only,MomentumOnly_Ridge,2,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",[2021],-0.588787261605848,0.9376273090101531,0.7240172285364668
Round2_RegimeIndicators,besttarget_plus_regimes_and_interactions,target_pop_change_3y_avg,besttarget_plus_regimes_and_interactions__naive_zero,NaiveZero,0,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",[2021],-1.0783241379411694,1.072393107960378,0.8645447501592781
Round2_RegimeIndicators,besttarget_plus_regimes_and_interactions,target_pop_change_3y_avg,besttarget_plus_regimes_and_interactions,Ridge,17,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",[2021],-2.5053793687498693,1.3927234449839465,1.2002569009692512
Round2_RegimeIndicators,besttarget_plus_regimes_and_interactions,target_pop_change_3y_avg,besttarget_plus_regimes_and_interactions,Lasso,17,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",[2021],-1.6422312060735793,1.209157244272334,1.019940102074735
Round2_RegimeIndicators,besttarget_plus_regimes_and_interactions,target_pop_change_3y_avg,besttarget_plus_regimes_and_interactions,RandomForest,17,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",[2021],-2.2567315349992176,1.3424198123182163,1.038232275861693
Round2_RegimeIndicators,besttarget_plus_regimes_and_interactions,target_pop_change_3y_avg,besttarget_plus_regimes_and_interactions,HistGradientBoosting,17,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",[2021],-2.3941792717522086,1.3704549436876865,1.1040931523643003
Round3_DisasterTiming,besttarget_bestregime,target_pop_change_3y_avg,besttarget_bestregime__momentum_only,MomentumOnly_Ridge,2,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",[2021],-0.588787261605848,0.9376273090101531,0.7240172285364668
Round3_DisasterTiming,besttarget_bestregime,target_pop_change_3y_avg,besttarget_bestregime__naive_zero,NaiveZero,0,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",[2021],-1.0783241379411694,1.072393107960378,0.8645447501592781
Round3_DisasterTiming,besttarget_bestregime,target_pop_change_3y_avg,besttarget_bestregime,Ridge,11,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",[2021],-0.19055617001582958,0.8116565887319426,0.6021424015571774
Round3_DisasterTiming,besttarget_bestregime,target_pop_change_3y_avg,besttarget_bestregime,Lasso,11,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",[2021],-0.0745433011844292,0.7710975689854239,0.5463456014598924
Round3_DisasterTiming,besttarget_bestregime,target_pop_change_3y_avg,besttarget_bestregime,RandomForest,11,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",[2021],-1.0369182618355564,1.0616568697441828,0.8675833531455824
Round3_DisasterTiming,besttarget_bestregime,target_pop_change_3y_avg,besttarget_bestregime,HistGradientBoosting,11,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",[2021],-1.2456689405208086,1.1147314128106123,0.9292562894048003
Round3_DisasterTiming,besttarget_bestregime_plus_disastertiming,target_pop_change_3y_avg,besttarget_bestregime_plus_disastertiming__momentum_only,MomentumOnly_Ridge,2,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",[2021],-0.588787261605848,0.9376273090101531,0.7240172285364668
Round3_DisasterTiming,besttarget_bestregime_plus_disastertiming,target_pop_change_3y_avg,besttarget_bestregime_plus_disastertiming__naive_zero,NaiveZero,0,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",[2021],-1.0783241379411694,1.072393107960378,0.8645447501592781
Round3_DisasterTiming,besttarget_bestregime_plus_disastertiming,target_pop_change_3y_avg,besttarget_bestregime_plus_disastertiming,Ridge,15,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",[2021],-0.951988431030409,1.0392881921674755,0.7757018980289944
Round3_DisasterTiming,besttarget_bestregime_plus_disastertiming,target_pop_change_3y_avg,besttarget_bestregime_plus_disastertiming,Lasso,15,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",[2021],-0.5969492569957615,0.9400326361418971,0.6717025549394708
Round3_DisasterTiming,besttarget_bestregime_plus_disastertiming,target_pop_change_3y_avg,besttarget_bestregime_plus_disastertiming,RandomForest,15,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",[2021],-0.955205324892781,1.0401442176051299,0.8316074887875171
Round3_DisasterTiming,besttarget_bestregime_plus_disastertiming,target_pop_change_3y_avg,besttarget_bestregime_plus_disastertiming,HistGradientBoosting,15,"[2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020]",[2021],-1.5212514816398897,1.1811510942270993,0.9465073640435375
