municipio,kmeans_cluster,hier_cluster,vulnerability_score_0_1,median_income_real,income_growth,max_seismic_mag,lag_violent_crime_rate,lag_property_crime_rate
Arecibo,0,0,0.4136793054996776,24606.16,-0.9394706499964544,-0.0,0.3338129496402878,0.874820143884892
Barceloneta,0,0,0.49618538789727673,25515.03,9.449399176481643,-0.0,0.5761134500332373,1.5510746731664082
Bayamón,0,0,0.028585926350080337,32642.33,-0.8918790578599567,-0.0,0.6813622885051456,0.6159515088086517
Caguas,0,0,0.019228798152989612,32668.36,1.216141857191011,-0.0,0.847598602650528,0.8792845317215757
Camuy,0,0,0.4458936951648975,28537.32,2.0349554386449142,-0.0,0.3358470979757579,1.1907306200958692
Canóvanas,0,0,0.39463147988053837,30859.99,5.55035670286026,-0.0,0.7136570164378999,0.5471370459357233
Carolina,0,0,0.0,38476.6,2.1984977511953163,-0.0,0.6004202942059441,0.8875778262174826
Cataño,0,0,0.4248768454711247,26556.12,1.931805489077365,-0.0,0.8784258608573436,0.3952916373858046
Cayey,0,0,0.2916798829471824,31367.0,2.825159530283061,-0.0,0.6791006766753171,0.4123111251242996
Ceiba,0,0,0.2763593217454995,26499.9,6.551108537791617,-0.0,0.8986340762041697,0.4493170381020848
Cidra,0,0,0.3593256325396176,30447.72,4.63511570005104,-0.0,0.3772161448509996,0.9304664906324658
Culebra,0,0,0.3557739093684045,30847.49,4.22382409235964,-0.0,0.0,1.56128024980484
Dorado,0,0,0.104464083393989,37886.3,5.868877434397657,-0.0,0.8376144739781103,1.5077060531605986
Fajardo,0,0,0.3847938633123694,26613.38,-1.3508509400874336,-0.0,0.6298022420959819,0.8817231389343746
Guaynabo,0,0,0.0,48651.17,-1.426755154203141,-0.0,0.5139492530976616,0.748578259946594
Gurabo,0,0,0.1526119848239283,43950.65,3.727282703996937,-0.0,0.5447836961097492,0.3962063244434539
Hatillo,0,0,0.3483218098569282,29302.52,-2.3644431886563178,-0.0,0.4181257513197094,0.9930486593843098
Humacao,0,0,0.10594684515813002,28148.99,0.6889301515682122,-0.0,0.5947542673618684,0.9317816855335936
Juncos,0,1,0.464258592576959,31090.07,2.8752049475284647,-0.0,0.4065591543569589,0.4336630979807562
Las Piedras,0,0,0.420530022825664,26268.78,-4.625116092635939,-0.0,0.5137866072957699,0.7706799109436547
Luquillo,0,0,0.4112067006102561,25220.4,-1.0040355327856965,-0.0,0.7373376439226363,1.36123872724179
Manatí,0,0,0.5057476594187784,23615.04,8.257540194812819,-0.0,0.6129955046996322,1.3536984062116877
Naguabo,0,0,0.6977115920793937,24356.3,6.10834279421002,-0.0,0.7756948933419522,0.8187890540831717
Salinas,0,0,0.6635032856889836,22800.91,-1.5640332786632571,-0.0,0.7481198566759855,0.551246210182305
San Juan,0,0,0.0,29142.19,0.7721944971589512,-0.0,1.1840749303876148,1.2076973728891132
Santa Isabel,0,0,0.5318721212194848,26854.91,8.011108831963831,-0.0,0.5482456140350878,0.8472886762360446
Toa Alta,0,1,0.2867060254615845,36689.05,2.643193620458218,-0.0,0.2555007815318023,0.2104124083203078
Toa Baja,0,0,0.20284586996302484,33332.58,4.893849221334401,-0.0,0.6757943963128659,0.8109532755754388
Trujillo Alto,0,0,0.0,41700.86,0.3441710021913957,-0.0,0.445573229960344,0.668359844940516
Vega Alta,0,0,0.4285499625678528,26587.35,-1.701193604727691,-0.0,0.6265307284843652,0.6834880674374892
Vega Baja,0,0,0.4781567577114001,25240.18,-1.3744952512392494,-0.0,0.906433830330386,0.8694365311332273
Vieques,0,0,1.0,20616.7,9.720784559995522,-0.0,0.4909782742113661,2.700380508162514
Adjuntas,1,1,1.0,20352.27,2.0609499184857105,0.5064838826752387,0.1668984700973574,0.8344923504867872
Aguada,1,1,0.686008563247024,22384.47,-3.731611915457278,-0.0,0.1319121992401857,0.4221190375685943
Aguadilla,1,1,0.44793551761165107,22425.08,5.5298875575412465,0.5030827602797939,0.2202400616672172,1.027786954447014
Aguas Buenas,1,1,0.5463100704051495,24020.03,0.2210116718529331,-0.0,0.4186202277294039,0.2930341594105827
