year,municipio,geoid,total_population,total_population_moe,total_population_16plus,total_population_16plus_moe,total_housing_units,total_housing_units_moe,unemployment_rate_pct,unemployment_rate_moe,labor_force_participation_pct,labor_force_participation_moe,median_income_nominal,median_income_real,median_income_moe,cpi,total_population_25plus,hs_graduate_pct,hs_graduate_count,hs_graduate_moe,bachelors_plus_pct,bachelors_count,doctorate_count,doctorate_moe,establishment_count,uninsured_pct,uninsured_moe,poverty_rate_pct,unemployment_rate_pct.1,per_capita_income,no_hs_diploma_pct,under_18_pct,over_65_pct,disability_pct,single_parent_pct,minority_pct,limited_english_pct,multi_unit_housing_pct,mobile_homes_pct,crowding_pct,no_vehicle_pct,group_quarters_count,pct_group_quarters,lat,lon,max_wind_knots,max_seismic_mag,murder,robbery,burglary,larceny / theft,total,murder_rate,robbery_rate,burglary_rate,target_pop_change,lag_violent_crime_rate,lag_property_crime_rate,lag_pop_change_1,lag_pop_change_2,income_growth,per_capita_income_inv,split,vulnerability_index,vulnerability_score_0_1,kmeans_cluster_4,kmeans_cluster_3,hier_cluster_4,hier_cluster_3,typology_label,net_migration_proxy
2024,Bayamón,72021,182469,0,157877,306,88047,1037,7.4,0,47.8,0,31354,32642.33,910,313.7,137762,85.7,31702,1165.402077,33.0,45450,1710,310.0,0.0,6.3,0.5,34.33,7.4,19277,14.37,15.45,24.47,22.09,12.57,99.64,38.59,10.83,0.25,1.44,11.93,4980,2.73,18.3808,-66.1557,0.0,0.0,11.0,118.0,161.0,1346.0,2241.0,0.0602842126607807,0.6466851903611025,0.8823416580350635,-0.5380036630036611,0.6813622885051456,0.6159515088086517,-0.4719898440806003,-0.8674888000903547,-0.8918790578599567,-19277,test,-5.447110542354733,0.4488924488613517,1,0,2,2,Disaster-exposed,
2024,Cabo Rojo,72023,46876,0,41086,147,28577,793,13.1,0,47.2,0,26408,27493.1,1743,313.7,35834,76.8,8082,761.725016,29.3,10511,783,271.0,0.0,4.1,0.9,38.45,13.08,17031,23.48,14.99,25.05,22.93,10.32,99.52,29.03,6.54,2.21,2.75,10.17,179,0.38,18.0866,-67.1457,0.0,4.4,3.0,3.0,23.0,53.0,107.0,0.0639986346957931,0.0639986346957931,0.4906561993344142,-0.168246193163668,0.1490789053348951,0.6602065807688212,-0.059596024093822,-0.8860198721599932,-0.2691956523868444,-17031,test,-4.022800653296114,0.6129475572764691,0,1,1,1,Disaster-exposed,
2024,Caguas,72025,125586,0,108523,303,61398,956,8.2,0,49.9,0,31379,32668.36,1516,313.7,94329,85.9,24521,1443.779069,35.7,33649,2042,418.0,0.0,6.0,0.8,35.73,8.15,21862,14.19,15.88,22.56,24.66,13.44,98.75,28.48,11.29,0.14,1.97,11.83,1028,0.82,18.2325,-66.0391,0.0,0.0,16.0,69.0,90.0,407.0,821.0,0.127402735973755,0.5494242988868185,0.7166403898523721,-0.5172727920848552,0.847598602650528,0.8792845317215757,-0.4204398447606672,-1.0999984397185305,1.216141857191011,-21862,test,-5.481640500104182,0.4449152132852515,1,0,2,2,Disaster-exposed,
2024,Camuy,72027,32734,0,28445,116,14747,351,3.0,0,44.7,0,27411,28537.32,2615,313.7,24834,73.8,6443,573.0061082,22.8,5666,225,154.0,0.0,5.0,1.3,37.79,3.03,15830,26.56,15.56,23.28,32.78,8.09,99.72,18.6,1.06,0.0,1.89,11.0,189,0.58,18.4838,-66.845,0.0,0.0,3.0,7.0,26.0,82.0,169.0,0.0916478279464776,0.2138449318751145,0.7942811755361397,-0.0580099532867195,0.3358470979757579,1.1907306200958692,0.0611004185378627,-0.4622168161775852,2.0349554386449142,-15830,test,-3.5529811137061738,0.6670623928856714,2,0,3,2,Relative resilience / stabilization,
2024,Canóvanas,72029,41816,0,35478,165,18667,508,14.5,0,55.0,0,29642,30859.99,3034,313.7,30936,81.3,8906,788.0006345,27.9,8635,401,154.0,0.0,8.6,1.5,33.22,14.52,18596,19.07,17.27,19.64,18.93,13.81,99.94,26.26,5.54,0.0,6.75,9.31,65,0.16,18.3791,-65.9011,0.0,0.0,13.0,20.0,23.0,97.0,256.0,0.3108857853453223,0.4782858236081883,0.5500286971494165,-0.5257273354425829,0.7136570164378999,0.5471370459357233,-0.4287270832346368,-1.385158020135013,5.55035670286026,-18596,test,-3.511181694644135,0.671876940814173,1,0,2,2,Disaster-exposed,
2024,Carolina,72031,152204,0,132335,272,80200,1252,10.4,0,53.5,0,36958,38476.6,1432,313.7,115045,89.0,30817,1432.381234,36.0,41406,1674,353.0,0.0,6.6,0.6,27.87,10.36,22102,11.12,15.48,24.81,19.27,12.82,99.22,35.79,14.3,0.04,3.72,9.56,665,0.44,18.3808,-65.9574,0.0,0.0,19.0,86.0,141.0,774.0,1496.0,0.1248324616961446,0.5650311424141283,0.9263882683766524,-0.6669886311722606,0.6004202942059441,0.8875778262174826,-0.5839378171106802,-1.1290301887276644,2.1984977511953163,-22102,test,-6.325897695457277,0.3476718347354908,1,0,2,2,Disaster-exposed,
2024,Cataño,72033,22467,0,19175,107,11337,326,9.8,0,44.8,0,25508,26556.12,1492,313.7,16741,79.5,5557,498.7063264,23.2,3879,75,67.0,0.0,6.1,1.5,42.24,9.79,16629,21.15,16.71,24.77,17.17,15.43,99.4,33.22,14.92,0.26,2.99,20.71,5,0.02,18.4388,-66.1182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3220309205903005,0.8784258608573436,0.3952916373858046,-1.2662619254119711,-2.0224337185588026,1.931805489077365,-16629,test,-3.454849932884041,0.6783653555571718,2,0,2,2,Disaster-exposed,
2024,Cayey,72035,40917,0,35698,136,20583,537,5.0,0,44.5,0,30129,31367.0,2396,313.7,31007,80.5,10247,844.1338756,29.4,9106,682,246.0,0.0,5.1,0.9,37.31,4.97,18854,19.85,15.37,24.13,32.8,15.29,99.95,19.46,5.74,0.11,1.42,14.76,147,0.36,18.1119,-66.1663,0.0,0.0,14.0,14.0,19.0,140.0,253.0,0.3421560720482929,0.3421560720482929,0.4643546692083975,-0.7615629017001746,0.6791006766753171,0.4123111251242996,-0.6697342744946932,-1.483362605022076,2.825159530283061,-18854,test,-4.267095580175429,0.5848091366825223,1,0,2,2,Disaster-exposed,
2024,Ceiba,72037,10995,0,9551,66,7527,293,9.5,0,42.2,0,25454,26499.9,2196,313.7,8402,80.1,3380,394.4426448,22.9,1925,109,108.0,0.0,6.7,2.0,40.34,9.53,16091,21.22,14.79,27.39,12.28,11.07,99.04,29.85,10.87,0.0,5.01,9.67,63,0.57,18.2633,-65.6474,0.0,0.0,10.0,1.0,15.0,24.0,82.0,0.9095043201455206,0.090950432014552,1.364256480218281,-1.195183321351545,0.8986340762041697,0.4493170381020848,-1.1371712864250203,-1.805809997382879,6.551108537791617,-16091,test,-4.495232259835512,0.5585318581193321,1,0,2,2,Disaster-exposed,
2024,Ciales,72039,16805,0,14341,100,7454,251,11.5,0,35.2,0,22586,23514.06,2458,313.7,12699,70.7,3518,488.1444458,16.8,2138,47,76.0,0.0,6.5,1.9,54.3,11.55,10672,30.19,16.69,25.15,24.64,14.41,99.87,19.88,2.84,0.32,3.34,13.44,22,0.13,18.3361,-66.4688,0.0,0.0,3.0,1.0,15.0,36.0,77.0,0.1785182981255578,0.0595060993751859,0.8925914906277893,-0.408913120777532,0.3555766267630674,0.4148393978902453,-0.2954384306310564,-0.7098855969492557,6.424562041912529,-10672,test,-1.0448183444512524,0.9559580315341105,2,1,3,2,High vulnerability decline,
