k,inertia,min_cluster_size,has_singleton,silhouette
2,12.426733995008266,3,False,0.48341743370877516
3,4.052951198424282,1,True,0.5093718509453146
4,1.2824426071046686,1,True,0.3592902817371218
5,0.09909946110159792,1,True,0.28525692922492524
