k,inertia,silhouette,min_cluster_size,max_cluster_size,singleton_clusters
2,413.07103159427203,0.23276663670986764,32,46,0
3,345.55804476599405,0.22476753483773806,19,35,0
4,284.0937842080358,0.23911517019334888,1,37,1
5,244.32614669549073,0.21711849270118952,1,26,1
6,216.0509984247315,0.21927243162370233,1,21,1
