year,total_population,weighted_avg_change_pct_3y,simple_avg_change_pct_3y,n_municipios
2013,3682966.0,-1.413605878349345,-1.244872677696682,78.0
2014,3638965.0,-1.5859974577766256,-1.448588444037747,78.0
2015,3583073.0,-1.8620787419659195,-1.7579834343078868,78.0
2016,3529385.0,-2.036734376626278,-1.9265583800206083,78.0
2017,3468963.0,-2.0970329463605464,-1.969294210923494,78.0
2018,3386941.0,-0.7230656742066026,-0.9471729910562936,78.0
2019,3318447.0,-0.45169937573620816,-0.7495132905844181,78.0
2020,3255642.0,-0.00904789429719741,-0.3347823794220291,78.0
2021,3311274.0,-0.7828543064338872,-0.7724529513319667,78.0
