region,target_pop_change,vulnerability_score_0_1
South,-1.175954048940157,0.6477900910045228
West,-0.7719544483775299,0.6179295443091026
Metro,-0.671133279649222,0.11787683340572679
North,-0.3653750922918797,0.4537140993795507
Central Mountains,-0.3429685833001309,0.7480427858688572
East,-0.21181234524522338,0.4731884722956689
