feature_family,total_abs_coefficient,mean_abs_coefficient,n_features
population_dynamics,1.3641805108254526,0.22736341847090877,6
time_trend,0.22180629237703248,0.22180629237703248,1
demographic_context,0.08162353338888308,0.02040588334722077,4
earthquake_exposure,0.0,0.0,5
earthquake_x_vulnerability,0.0,0.0,1
economic_social_controls,0.0,0.0,15
geography_dummies,0.0,0.0,84
hurricane_exposure,0.0,0.0,5
hurricane_x_vulnerability,0.0,0.0,1
other,0.0,0.0,5
social_vulnerability,0.0,0.0,5
