hurricane_high,region,target_pop_change_3y_avg,svi_pca_1,hazard,threshold_used,earthquake_high
0.0,Central Mountains,-0.9421856241139012,1.0932560309271178,hurricane,7.046255735491361,
0.0,East,-1.3423519723315092,-0.095236464823921,hurricane,7.046255735491361,
0.0,Metro,-1.2492401425346038,-2.1554431012276614,hurricane,7.046255735491361,
0.0,North,-0.7778834127600316,-0.02153195764199144,hurricane,7.046255735491361,
0.0,South,-1.4678701420472795,0.8731823215595004,hurricane,7.046255735491361,
0.0,West,-1.1166435239924322,0.4483639665299903,hurricane,7.046255735491361,
1.0,Central Mountains,-0.6706685161811082,0.4630259717548773,hurricane,7.046255735491361,
1.0,East,-1.275465414356569,-0.1616433922197652,hurricane,7.046255735491361,
1.0,Metro,-1.0657184398367348,-2.838943856822938,hurricane,7.046255735491361,
1.0,North,-0.8492428377741342,-0.6209016326914317,hurricane,7.046255735491361,
1.0,South,-2.1202027920667357,-0.4025017647518556,hurricane,7.046255735491361,
1.0,West,-0.8861500385814636,-0.9915847926234103,hurricane,7.046255735491361,
,Central Mountains,-1.069445479557189,1.6135762796123851,earthquake,63814.848329707565,0.0
,East,-1.3230631575400678,0.014610451719368216,earthquake,63814.848329707565,0.0
,Metro,-1.3482829533664131,-1.91494183650716,earthquake,63814.848329707565,0.0
,North,-0.8893476137849464,0.6400039501229552,earthquake,63814.848329707565,0.0
,South,-1.6388271347633032,1.30956882435991,earthquake,63814.848329707565,0.0
,West,-1.223563201858095,0.7457947847049697,earthquake,63814.848329707565,0.0
,Central Mountains,0.10138931500172754,-0.8119997720688292,earthquake,63814.848329707565,1.0
,East,-1.1660454636762518,-1.7587767049884806,earthquake,63814.848329707565,1.0
,Metro,-0.3545236173233744,-3.799296609680326,earthquake,63814.848329707565,1.0
,North,-0.4212258899280008,-1.8735441712083114,earthquake,63814.848329707565,1.0
,South,-1.5100425722439133,-1.4252003275647942,earthquake,63814.848329707565,1.0
,West,-0.413325065316014,-1.5345135500466192,earthquake,63814.848329707565,1.0
