municipio,region,year,total_population,target_pop_change_3y_avg,svi_pca_1,wind_3yr_sum,seismic_3yr_sum,wind_3yr_x_svi,seismic_3yr_x_svi,income_growth,establishment_growth,lag_total_crime_rate
Adjuntas,Central Mountains,2024,17960.0,,,4.9731257518630265,98287.82473889366,18.710485807382057,369790.15644770215,9.391400161246978,0.0,100.13908205841446
Aguas Buenas,Central Mountains,2024,23614.0,,,2.9618158001970905,47341.65188111521,8.106970258721175,129581.78012737764,7.419301462367511,0.0,71.16543871399867
Aibonito,Central Mountains,2024,24636.0,,,3.1425035801162537,56348.106850331045,8.820082788971959,158152.55408662796,4.252832274108864,0.0,77.20438845997562
Barranquitas,Central Mountains,2024,29054.0,,,3.1504770326037494,58294.74067691213,13.025665475469475,241019.9417988281,9.93273785356612,0.0,96.60502346122
Cayey,Central Mountains,2024,40917.0,,,3.012615064288169,51112.542987932,6.6296176434637735,112479.22803412018,10.210463441200249,0.0,109.14118017996168
Ciales,Central Mountains,2024,16805.0,,,3.1849686543608,66977.40494438403,13.929563604742398,292927.85063237144,14.06840011642574,0.0,77.04160246533128
Cidra,Central Mountains,2024,39643.0,,,2.932252564458663,50994.59319908696,5.967051489295156,103772.56276721456,12.150429113411176,0.0,130.76826354834654
Comerío,Central Mountains,2024,18711.0,,,2.975613544620204,54609.23846829515,10.91420066134316,200300.26670757963,3.3848962559406504,0.0,69.2410119840213
Corozal,Central Mountains,2024,34444.0,,,2.941464176737775,59841.54420509037,9.669933611685469,196726.43449485453,3.5174027493419135,0.0,66.7169461043105
Jayuya,Central Mountains,2024,14566.0,,,3.9267191634531375,77519.81511038919,16.662057093048627,328936.07397072343,23.23684353445934,0.0,54.59632839691531
Lares,Central Mountains,2024,27855.0,,,4.662225624171089,88029.39444052654,17.686039442652774,333937.36547548475,1.921544273663511,0.0,85.8860578299456
Morovis,Central Mountains,2024,28397.0,,,3.0991396479154343,63987.50301610221,14.386095004257989,297027.69221582665,13.126336375488922,0.0,126.16527651223105
Naranjito,Central Mountains,2024,29310.0,,,2.897525584628638,56675.01928260402,9.110717605078635,178203.80903120476,7.791906163839424,0.0,99.1588593311906
Orocovis,Central Mountains,2024,21309.0,,,3.342932221020556,66447.49164287941,17.021053639139968,338327.6251692812,10.88138705277515,0.0,117.09053440119902
Utuado,Central Mountains,2024,27621.0,,,4.49523228095363,84547.79825951418,17.50827118949297,329301.2880945241,22.87034725374488,0.0,50.186406653283626
Caguas,East,2024,125586.0,,,2.9147600037786168,37615.18866251163,1.3601519392205337,17552.859150371176,8.485903098329617,0.0,172.68831343721035
Canóvanas,East,2024,41816.0,,,2.3214533622413107,28224.345114258096,4.530682990871419,55084.268509358735,13.1314245912457,0.0,126.07940623736232
Ceiba,East,2024,10995.0,,,2.2444217617691464,22047.39151712663,2.7501361547753977,27015.122363608098,14.20401654887089,0.0,134.79511143062544
Culebra,East,2024,1387.0,,,2.9940049251777654,20166.52906235877,8.30180547504086,55917.94454797712,11.709603824147186,0.0,156.128024980484
Fajardo,East,2024,31489.0,,,2.6758244513986806,23992.638412251777,3.981351744605619,35698.57983410664,5.734525228446574,0.0,151.15253810303565
Gurabo,East,2024,40228.0,,,2.828441944972063,31461.56751295262,2.3102392395530083,25697.45082994348,11.177400586866336,0.0,94.09900205532033
Humacao,East,2024,50100.0,,,2.426784311434724,21080.552993507463,3.5941234071218005,31220.784060633523,7.920829659164985,0.0,152.65359528954622
Juncos,East,2024,36829.0,,,2.800584301732431,26510.570694065325,6.420452286805483,60776.55085474091,10.26411547737267,0.0,84.02222523377151
Las Piedras,East,2024,34951.0,,,2.432944393815106,22678.56305949029,5.2550950140756685,48985.09146501485,2.225084640230368,0.0,128.44665182394246
Loíza,East,2024,22768.0,,,2.517232054840595,27223.263320531943,8.629847805098647,93329.74239007628,12.308133333333338,0.0,0.0
Luquillo,East,2024,17532.0,,,2.6890682043680187,25461.268258555618,4.266321753392733,40395.391408814365,6.106272876435703,0.0,209.85763711644265
Maunabo,East,2024,10399.0,,,2.5988615911792907,23310.879653065684,9.001333840701188,80738.81679187015,-2.9774828280741517,0.0,133.56229727151307
Naguabo,East,2024,23054.0,,,2.3228048803312245,21246.28067778564,6.910757095102305,63211.45877634154,13.729454613373182,0.0,159.4483947425124
Río Grande,East,2024,46051.0,,,2.2829398859429193,25654.328382885033,3.301414042349213,37099.33866055914,12.66505888951206,0.0,0.0
San Lorenzo,East,2024,37431.0,,,2.870136777516633,30829.6349965196,7.67558040384697,82447.40950700885,11.565572232645405,0.0,95.96161535385846
Vieques,East,2024,8078.0,,,2.424454394696878,16994.40845966302,7.922746341583135,55535.128953414925,17.601391820204213,0.0,319.135878237388
Yabucoa,East,2024,29400.0,,,2.544327944035897,21496.36919507423,8.207850311761225,69346.00589248376,12.255134169838811,0.0,120.53033346725591
Bayamón,Metro,2024,182469.0,,,2.8915701704757764,52349.44959056013,-0.895588990886725,-16213.886562735925,6.226463601158527,0.0,129.73137973137975
Carolina,Metro,2024,152204.0,,,2.7155268076938675,29816.19827128312,-2.255363392844984,-24763.652453855942,9.538803165746156,0.0,148.7998120423427
Cataño,Metro,2024,22467.0,,,2.7985103925913517,42946.647967477504,9.537051766809348,146358.00744606322,9.2529723947834,0.0,127.37174982431485
Guaynabo,Metro,2024,89378.0,,,2.870529326307224,45082.13195561373,-6.71594096129147,-105474.94981092868,5.653166261292553,0.0,126.25275130442554
San Juan,Metro,2024,336160.0,,,2.762855933530989,41125.67566159651,-1.895399183198398,-28213.404510690885,8.010044105110993,0.0,239.1772303276728
Toa Alta,Metro,2024,66320.0,,,2.7904264335855173,57746.07242885453,4.21579480199795,87243.1500258368,10.015442741911308,0.0,46.59131898521102
Toa Baja,Metro,2024,73039.0,,,2.923932737635095,57158.79008849955,3.102028866493537,60640.3199862179,12.427752293578,0.0,148.67476718883046
Trujillo Alto,Metro,2024,67088.0,,,2.7774512995342726,34280.8051362024,-1.3047428821125642,-16103.84185747844,7.551285688494569,0.0,111.393307490086
Arecibo,North,2024,86467.0,,,3.8304408244572294,74943.83596324506,5.691681912919628,111359.63070184232,6.175447680690405,0.0,120.863309352518
Barceloneta,North,2024,22494.0,,,3.191372293652666,68697.73509716813,7.533547721080598,162167.75044202848,17.310482758620683,0.0,212.71881231996457
Camuy,North,2024,32734.0,,,3.837025836884047,76360.1813275565,10.418236771761835,207332.05425877127,9.363531846401465,0.0,152.6577718071627
Dorado,North,2024,35810.0,,,2.9141368072364298,56938.04887203283,1.8668210667870155,36475.003120001355,13.472804600455255,0.0,234.53205271387088
Florida,North,2024,11532.0,,,3.6782318932885367,71398.81883752269,10.96080508206557,212762.15286908444,9.600810823551598,0.0,129.04335856847902
Hatillo,North,2024,38157.0,,,3.794717565839286,76299.40895970055,8.906468065920398,179080.05999331185,4.648119710010357,0.0,141.11744107040192
Manatí,North,2024,38943.0,,,3.0458605711610973,67403.59558164829,8.456705103832121,187143.27772222017,16.033018867924543,0.0,196.669391091132
Quebradillas,North,2024,23409.0,,,4.025119286186561,76555.32864846943,12.092622989952018,229994.3582777352,8.586437521164903,0.0,76.64140338925318
Vega Alta,North,2024,34921.0,,,2.8595699912438057,59979.58265414288,8.926009255397828,187223.3627941063,5.359025163463449,0.0,131.00187959218545
Vega Baja,North,2024,53892.0,,,2.881085623826044,61942.720812060375,7.924498276205647,170375.00733726818,5.709176194664312,0.0,177.5870361463613
Arroyo,South,2024,15341.0,,,3.0130896584325733,42312.481080425256,10.837711159859362,152192.76569593148,16.51011568327081,0.0,134.84877672895396
Coamo,South,2024,33998.0,,,3.4030468359053128,62535.62918334366,10.230199302598276,187993.87164143848,10.356445641198263,0.0,37.90750568612586
Guayama,South,2024,35298.0,,,3.0780196740188335,45909.41633336456,7.70905073553196,114982.37738372608,4.771469442115128,0.0,80.90389175617241
Guayanilla,South,2024,17141.0,,,6.1417391329340605,168992.9624940522,19.94903095398214,548907.3643198621,16.344252336448584,0.0,109.08255827305088
Juana Díaz,South,2024,46156.0,,,3.6839614918738177,76255.4306539325,12.752194903870194,263961.53063013946,8.605843092809472,0.0,56.1846313423805
Patillas,South,2024,15563.0,,,2.90627091401333,37148.114726905085,9.347225199410978,119476.74678629244,8.438348561181797,0.0,101.56795531009966
Peñuelas,South,2024,19853.0,,,5.411150501763986,121746.73278616328,22.35696646275292,503014.58459946414,12.74211555894842,0.0,94.61209042924013
Ponce,South,2024,132760.0,,,4.620480221842408,95595.82279863312,9.21225610825981,190597.76478161645,9.91522812981358,0.0,72.7672339540824
Salinas,South,2024,25079.0,,,3.230632776446729,61224.88716240305,15.002414353408811,284316.16637076373,5.506038591458062,0.0,129.93660668582902
Santa Isabel,South,2024,19903.0,,,3.516828538021328,65888.36939765864,13.20675058310309,247430.67555173565,15.768892529206369,0.0,139.55342902711322
Villalba,South,2024,21556.0,,,3.478859119194468,72123.80471371753,16.048470264082447,332717.33508673945,9.98348203520618,0.0,68.87684819542658
Yauco,South,2024,32993.0,,,6.437332105663239,168904.36166907367,19.65845800765842,515803.6352141466,15.209599416005103,0.0,56.70118475633412
Aguada,West,2024,37758.0,,,5.202597061974426,73322.509781234,15.23175636453922,214667.90368740456,3.182769429335308,0.0,55.40312368087801
Aguadilla,West,2024,54137.0,,,4.860819064731745,75901.59149321905,11.666371900575411,182170.16153311863,13.109452234439622,0.0,124.80270161142312
Añasco,West,2024,25094.0,,,5.621895771470265,81691.91821302533,12.86909170363164,187001.1166454012,7.838031452672634,0.0,43.45078211407805
Cabo Rojo,West,2024,46876.0,,,7.52413257452099,97960.7413833848,8.387483535875608,109201.17334158176,6.893856920684294,0.0,80.92854861037164
Guánica,West,2024,12855.0,,,7.445981831899326,206824.04060981187,28.741491771555975,798340.8495412024,13.248241826033324,0.0,82.91873963515755
