region,policy_package,mean_predicted_target,mean_delta_vs_baseline,approx_retained_residents,municipalities
North,recovery_rebound_bundle,-0.09379813852729366,1.0227070816615673,3861.1477387559453,10
Central Mountains,recovery_rebound_bundle,-0.08632758673517626,1.0444429971706972,4074.0848999163504,15
South,recovery_rebound_bundle,-0.7459536005606751,1.0621311517021574,4370.472628089199,12
West,recovery_rebound_bundle,-0.3477339893473325,1.062194602471274,5039.790917035823,16
East,recovery_rebound_bundle,-0.23718950803004618,1.0359808287577876,5596.5518281364675,17
Metro,recovery_rebound_bundle,-0.4728279965224135,0.9422811591573944,9410.096970297167,8
