policy_package,mean_predicted_target,mean_delta_vs_baseline,approx_retained_residents,municipalities,relative_improvement_pct_of_latest_population
retention_bundle,-0.951249477734225,0.39935634826013455,12679.066405026872,78,0.3920177820061989
jobs_push,-1.0563203899245637,0.29428543606979574,9769.806417037644,78,0.3020678116110008
public_safety,-1.1505001682172875,0.20010565777707207,6960.8646727413,78,0.21521953136640007
resilience_and_vulnerability,-1.1750932452785459,0.17551258071581363,4943.521139038419,78,0.1528462846017007
family_demography_support,-1.329015109087017,0.02159071690734261,693.6635468538907,78,0.021447040058754148
baseline,-1.3506058259943596,0.0,0.0,78,0.0
