region,year,total_population,target_pop_change_3y_avg,svi_pca_1,wind_3yr_sum,seismic_3yr_sum,wind_3yr_x_svi,seismic_3yr_x_svi,income_growth,establishment_growth,lag_total_crime_rate
Central Mountains,2010,29497.533333333333,-0.549725290559478,3.5876441650595186,0.7459899607477776,16491.881207678405,2.620038285585838,59954.75020338608,,,
Central Mountains,2011,29401.466666666667,-0.7837697098557365,3.2861941729424062,4.135144420687175,21919.95733093766,14.398797700805499,80838.13068411828,0.21510989965143554,,672.9141657529648
Central Mountains,2012,29251.866666666665,-1.0657283481371072,2.315253422213943,4.135144420687175,25063.180240257967,14.398797700805499,92158.20097616578,0.05770739649941354,,636.0014310253111
Central Mountains,2013,29037.133333333335,-1.2630102826134768,2.069084551977619,3.9824125624448117,12334.036266230194,13.93236594020837,46010.05973648754,0.1469343468656242,-0.27317448350999474,561.8999221349103
Central Mountains,2014,28737.666666666668,-1.4358311336304719,1.7919432146467027,1.0797811360541165,27174.83703691524,3.908919242730731,106472.09377695425,-1.8353640524978456,-2.3404159901080654,477.8133624054009
Central Mountains,2015,28347.133333333335,-1.6985885857072465,1.503864068749948,1.7246422838885314,28993.889820791825,6.214687907433371,113285.74479341289,-1.4904095549378682,-1.9017358332533212,419.9663792425624
Central Mountains,2016,27969.4,-1.8857958965250488,1.1226483168980084,1.1313841813831178,32735.97522545847,4.0610813824446605,126360.29863121764,0.877123522165212,-1.909829231361894,309.78050547885033
Central Mountains,2017,27535.933333333334,-1.9420768439103246,0.8630235371037179,12.3920741637671,18862.080155734126,42.722824536999084,68389.86398050784,-0.0004440528170976214,2.774957660193877,778.1184162911784
Central Mountains,2018,26946.666666666668,-0.22483764851874607,0.49031209625198957,12.00337771855551,21054.79144694775,41.298724168923144,76580.903164992,1.0146073091276122,1.3434310853725342,728.4709792102581
Central Mountains,2019,26441.066666666666,0.15490894388574614,0.07196396857945628,15.03373918736881,26735.10725292428,51.91707642514294,98144.31188338343,2.843210568807696,4.75610829949114,183.78039007618779
Central Mountains,2020,25989.866666666665,0.6650116714444887,-0.30969120093656155,4.416534221850928,272041.9424377728,15.558591700324989,1005708.3459785167,2.6867079506029214,2.9024592499296555,158.28983863057016
Central Mountains,2021,26696.0,-0.46223304144103367,-0.7335158469079582,5.053260362309574,294352.61208264675,17.87430343539309,1088779.9957041903,0.7952336366656133,6.8031656033348815,100.28002580539905
Central Mountains,2022,26477.533333333333,,-1.151101165509959,5.30267138005311,308316.2695298652,19.23320289701201,1140441.2933630804,0.20863810299067917,6.552025806823505,82.17716843842918
Central Mountains,2023,26413.333333333332,,-1.5347443828840528,4.33946488917402,79572.97313659555,15.740567052677838,293793.4427612329,0.08427034252409464,0.0,87.78606470928428
Central Mountains,2024,26322.8,,,3.446574046092548,65400.97798027041,12.543187020983039,240698.97527024808,10.277081872105361,0.0,88.74042667335634
East,2010,38738.76470588235,-0.8372867553740155,2.160144266625275,1.2920616053665004,6152.505119090245,2.805635762523522,12518.373478066836,,,
East,2011,38718.58823529412,-0.8171498789331054,2.0144367676582156,7.590283022159082,9041.77739154409,16.36273490814573,18704.11994333948,-1.8265837775455305,,711.0822538801013
East,2012,38616.58823529412,-0.7700891441284724,1.2634426970834323,7.616319954760498,12603.647158948697,16.434930363739664,26260.32811927471,0.552493530192372,,642.9437469692017
East,2013,38430.94117647059,-0.943426226707344,0.9812304671613411,6.625681297128206,9919.747566944583,14.249558734434238,21075.2650860715,-1.6063056927179473,2.9567781839678133,657.5574376947433
East,2014,38140.117647058825,-1.261225826449572,0.7372577964153884,0.9258427314576516,11794.754120539003,1.9945213299698021,24861.573036576476,-0.7667320886157247,-0.45828424172247106,579.3925516321351
East,2015,37724.17647058824,-1.7524196676430588,0.4719392123756587,1.5196736312947312,12847.242059439403,3.2720872986871115,27088.507888118067,-0.6233469384858759,-0.6687957764116594,460.2174829451206
East,2016,37313.117647058825,-1.852989134759784,0.05186712750887135,1.2182506835605234,17500.55816569632,2.6518231654690165,37477.65823805374,0.8639184418355186,0.9087355123823109,370.1387612435026
East,2017,36830.0,-1.804613834884227,-0.23612594912490875,13.36635384963649,17945.424291253774,29.642699698475468,38490.08558218544,-2.876387413091755,-1.0828043708873691,1045.867506950791
East,2018,36090.41176470588,-1.7039563372464177,-0.5226285590628654,13.014505424462415,18043.94611113801,28.884398348485632,38619.44274461416,0.42905678934610497,-1.9127860444192057,871.0487326482494
East,2019,35527.882352941175,-1.8043634634492578,-0.9028579724155777,18.489527466593284,15754.367687346297,41.07663049674666,33119.3694909364,-0.42089097477572873,3.523725669173204,285.52895615371756
East,2020,35018.17647058824,-1.4634631660041304,-1.3162552253700441,6.8206999854616885,50439.96295886676,15.136288134696194,100526.75793628898,0.7901295443665867,2.483457290182764,215.8254847841136
East,2021,34286.82352941176,-0.7549384357034417,-1.7536677324980874,7.31130390015499,53811.18050781983,16.21155697575224,107386.14234177298,-0.37916971206855005,3.747572752552841,156.05842425228826
East,2022,33811.17647058824,,-2.133683740353444,3.9322836220767017,57549.239085198045,8.517408612384317,114891.92288941811,0.5209534342236672,6.781041049442465,193.34079532876362
East,2023,33629.17647058824,,-2.488256880211,3.340331862500741,25941.760643832786,7.220840082783644,53551.243312275205,-0.27472325469949105,0.0,155.43969533249754
East,2024,33417.294117647056,,,2.5817085405430173,25058.457645447255,5.554111167406188,51767.76141154844,9.88861404482017,0.0,131.68006028119228
Metro,2010,145364.0,-0.7999886820339197,0.16799280568988878,1.1699426244333533,12582.646219408705,0.33820524847476424,3223.485008217375,,,
Metro,2011,144095.75,-1.037356206312509,0.0033419682029397907,5.403223049434826,17398.70712422097,0.6750809086976722,5400.385059658375,-2.1921043961036903,,681.7287724071671
Metro,2012,142617.75,-1.3315759467971784,-0.8883716159949172,5.403223049434826,21447.525070570588,0.6750809086976722,6209.13633659473,-1.2865947734060383,,649.2782631300125
Metro,2013,140890.0,-1.5500386335110776,-1.1716013612418272,4.621227093469684,13271.829270878728,0.3890084786454037,4149.941138003288,-0.4699589348978711,0.6710096491058887,600.3707112054751
Metro,2014,138745.25,-1.7234851396824222,-1.4609370124131602,0.8149618256907963,29210.181067343197,0.12675391614276407,21162.596700010923,-2.166017911884084,-1.105360206562736,561.3673023981211
Metro,2015,136138.875,-1.997254556096696,-1.743660818641696,1.3999556735347487,31318.03695096626,0.21834370800743144,21793.40288909626,-1.2456300414051436,-1.334250387480479,488.9275081969394
Metro,2016,133648.5,-2.1622639222752107,-2.221960856683701,1.012009005066538,35073.230018377464,0.16621088958493632,22242.515078261604,-0.6279649868417114,-1.0281039281693354,431.3186231820453
Metro,2017,130924.875,-2.228739845555533,-2.536650219146582,12.345509284613925,21509.844555339347,1.5850789452541387,4903.313577976256,-0.4666806509615526,-0.646760885745988,1644.1882492886123
Metro,2018,127434.5,-0.6485649535522484,-2.800379959575618,11.946554022572458,22508.842171130822,1.5260408398449776,5195.487098428193,-2.2269796041341463,-0.847134842869629,1546.014448190307
Metro,2019,124457.375,-0.31985052040242323,-3.179801391746613,15.99642944122396,23623.45527647431,2.0374745139974153,5989.979120622273,-0.6343341994825987,3.74962782905424,301.2367750801466
Metro,2020,121688.125,0.17672881949368646,-3.538307158498814,5.040067979575284,140674.9140738927,0.6352790848955387,45618.02689941965,0.014185218562215551,1.9377096784821326,246.19485932431198
Metro,2021,126502.125,-0.8179270155961065,-3.8755639771639663,5.631151390653024,148613.38298066665,0.7252083380338408,48534.51447527644,0.18919925467918158,2.9505112271386387,158.8783501314289
Metro,2022,125127.375,,-4.20887283179744,3.9774866672560645,158281.67161463376,0.6559714707573198,51810.7925649212,0.8508037668248147,3.0739703295877012,127.04691077563947
Metro,2023,124433.25,,-4.771933254961585,3.59347238454949,49389.10394753428,0.5959609427146442,14666.125275798098,1.2806537029998357,0.0,147.99051819499698
Metro,2024,123640.625,,,2.8163503876692615,45063.22138751093,0.4734800031208367,12933.967782803506,8.584491281509438,0.0,134.74903961178288
North,2010,42035.2,-0.2243551157657353,2.4182005911491213,1.1590467454290905,21442.888997852053,2.6854481967034003,52947.1957678103,,,
North,2011,41958.8,-0.4576333639275642,2.1116241445416373,4.147942626519384,31863.207179537356,9.814360063865845,78444.28375702909,1.7481922054482002,,543.2479347789309
North,2012,41806.2,-0.762417522205241,1.2801962475261806,4.147942626519384,35795.65430393161,9.814360063865845,87891.783414943,-0.0235038706091528,,572.0132637108134
North,2013,41562.8,-0.9735063334156979,0.9466996523569448,3.570831664732271,19572.321175727768,8.555541053788374,47479.71244445717,1.2036651876741042,-1.307340293715873,581.2503111740864
North,2014,41201.2,-1.1620435087626824,0.6646176114451054,0.9452097483572682,53579.4958034845,2.3048453287193,129632.18996313249,-1.5402995886714033,-1.8182205324029908,553.3804321225377
North,2015,40693.6,-1.4492244739052773,0.4518599464262669,1.3883953875957105,56363.147531915536,3.365674208143534,136327.97403711072,-2.3967250540462515,-1.2858477817078828,550.7549558577232
North,2016,40215.9,-1.6512105032699864,0.08555227212230468,0.8064596039537333,59562.70393790804,1.9390450215176032,144079.2862028948,1.141086771962305,0.8737992061544719,431.16421786978844
North,2017,39650.5,-1.7172927995293286,-0.28782952939432993,10.166177700500265,24018.24093022022,24.397858292480613,57892.926771895225,0.1791187751819135,2.219201018834979,1305.292902952288
North,2018,38809.4,-0.5516451972828329,-0.6005334710222596,9.928208912394542,26790.713608826394,23.83628671002142,64762.23376778356,0.7984929112106685,0.47792391162671305,1079.124141473981
North,2019,38128.0,-0.2787905165102411,-0.9743418976577056,12.673547171423616,42252.306001498175,30.328250296733138,102794.35099193387,0.4139003003881359,3.2306012899125323,189.9822596380904
North,2020,37518.1,0.15625712847273648,-1.358906973684375,3.874031326885583,249931.39218797442,9.295100342896983,612564.9579553896,1.5178318453867679,2.9316103433216822,218.03625665938497
North,2021,38394.0,-0.4768170220608369,-1.7897336894837381,4.364394067794415,269405.9076215975,10.478537107402646,660977.5057997976,0.5985372146003753,3.059281450162977,152.9042617274355
North,2022,38062.2,,-2.30197816748124,4.857023411654846,274244.6460656608,11.911678578428166,672616.8835355426,1.4084893438779476,6.421634648043934,147.7991536304037
North,2023,37970.9,,-2.744983168980114,4.101335661419124,81492.92201709696,9.960433686062972,199482.13020191353,2.201718098415504,0.0,130.508532278814
North,2024,37835.9,,,3.4057560693775697,69051.92567535467,8.277739624592266,168391.26575163697,9.625885516694698,0.0,157.2832456051329
South,2010,43136.166666666664,-0.7613477134041267,3.43541592755939,0.49304598053859033,10909.607860453238,1.6467609662238223,37968.22146188973,,,
South,2011,42799.833333333336,-0.9980737922939761,3.153474903174253,3.621598936687489,14782.26914042466,12.357357944528674,51189.223242282496,-1.0899131826894966,,565.2827632463612
South,2012,42393.0,-1.2805750418302166,2.2571472665710055,3.621598936687489,17351.455721716316,12.357357944528674,59965.77446276759,-0.2599106618888606,,531.8836738834434
South,2013,41897.75,-1.4751565649398242,1.9185816341496482,3.836105200259859,9393.042618481239,13.11552701052448,32146.68606860524,-0.5905786020543156,-0.7502296490740589,465.3153804388201
South,2014,41307.5,-1.653988946336769,1.5676949114316239,1.2565929443793395,8842.578600677805,4.286969253749291,30401.03111884773,-0.9717125278319408,-2.3516861319084787,434.6634479777002
South,2015,40596.916666666664,-1.9390342191751009,1.234710322720926,2.061974396903962,9832.33850482023,7.046286162136174,33885.54936418581,-1.5415729075483444,-2.5000934233916814,367.1669190068846
South,2016,39906.666666666664,-2.1244501983809116,0.7236856696372124,1.3544221527930012,13546.89557766509,4.64135612991655,46743.87885981704,1.8622338520245567,-0.600924046279642,253.401574237797
South,2017,39142.0,-2.181758887747106,0.342905282223342,10.445639445721023,14631.964423104799,35.85384353780291,50522.15459595457,-0.6442007054207101,2.5231303185694345,818.0352337314945
South,2018,38118.75,-2.029969596503959,-0.12476724506718262,9.989468448663734,17235.560429978756,34.29344428918922,59386.16284384977,2.802454870043553,-0.5527348667593034,623.8396476568255
South,2019,37245.5,-1.9439163870210414,-0.5190731058506173,12.792952305330163,24825.46282155694,43.89564480950974,85006.44466205133,0.24880199476213627,3.1050180968270205,160.81252036847062
South,2020,36447.583333333336,-1.6410571573659383,-0.8515406136213285,4.61293214313251,441933.8878480603,15.785093648158428,1491386.6123803242,-1.493886753629825,0.32414646290137383,139.04932030594833
South,2021,36122.833333333336,-1.3790279871218882,-1.254201643013122,5.343391590300359,478001.62000804493,18.274244583590022,1613497.303589018,-0.6669906269152862,8.11713581632343,115.51075493403543
South,2022,35446.333333333336,,-1.7238077548218345,6.551144237972654,499904.5643706682,22.329141144793322,1687439.6411828669,3.3158195917121547,5.350473221877386,95.04499678413974
South,2023,35055.416666666664,,-2.0816463337722184,5.156454150144355,108296.73569996534,17.547295931414652,367555.8110860135,0.8648609500667009,0.0,94.18883479045253
