feature,mean_abs_shap
seismic_3yr_sum,0.2278596879482641
region_South,0.17036834635729348
region_East,0.1596887242521347
lag_pop_change_1,0.1137694722456274
lag_pop_change_2,0.07131719664834921
establishment_growth,0.06046490191496322
seismic_3yr_x_svi,0.047108892998175715
wind_3yr_sum,0.03871210717031696
svi_pca_1,0.015526447925179458
wind_3yr_x_svi,0.014876795480430478
region_North,0.01344933847400373
region_Central Mountains,0.012645440018857911
region_Metro,0.01104331709609125
income_growth,0.010048584119050581
lag_total_crime_rate,0.009265579260410937
region_West,0.0052569084547056805
