region,region_mae,region_rmse,region_mape_pct,region_mean_pct_error
Metro,17966.074181605276,19679.52098512461,1.8083339535101874,0.7628552014619551
East,13728.018074572115,13981.542778209754,2.2918065704987125,-2.2918065704987125
South,7526.4629938414,7659.698922207134,1.700894171173592,-1.700894171173592
West,5602.320024565328,7597.276049955899,1.1343768006841344,-0.25083108557416184
Central Mountains,4093.8451235485845,5665.410993666046,1.0283922040568658,-0.48946783436407487
North,3463.0837123806705,5103.595118873764,0.9073995731957392,-0.38133722482759236
