year,p05,p10,p25,p50,p75,p90,p95,observed_population,error,abs_error,pct_error
2018,3359747.777023643,3362895.145622938,3369202.173316753,3373976.6359500545,3379312.9283330794,3385862.050824798,3387561.6307397564,3386941.0,-12964.364049945492,12964.364049945492,-0.38277501881330356
2019,3292026.128943736,3294967.7988618673,3303350.093398669,3311711.8327333126,3318368.7553743795,3326666.250516593,3331124.8545567165,3318447.0,-6735.167266687378,6735.167266687378,-0.20296142342147933
2020,3256924.5751202917,3263780.886494247,3269256.6812910233,3276881.964662673,3285142.848474494,3294494.7823370374,3296730.961928667,3255642.0,21239.96466267295,21239.96466267295,0.6524047995041516
2021,3218829.953680164,3221742.232259318,3226878.7903516986,3236559.679369091,3247298.393165536,3254925.094573294,3261465.7893159604,3311274.0,-74714.32063090894,74714.32063090894,-2.256361769847767
