index,target_pop_change_3y_avg,target_pop_change_3y_avg_winsor_1_99,target_pop_change_2y_avg,target_pop_change_2y_avg_winsor_1_99,target_pop_change_1y_winsor_1_99,target_pop_change_1y,quake_count_100km,lag_storm_count_200km,max_seismic_mag,quake_count_mag35_100km,lag_establishment_growth,svi_composite_z15,establishments_pct_micro,violent_crime_rate,robbery_rate,lag_pr_annual_storm_count
target_pop_change_3y_avg,1.0,0.9899579451160592,0.8590973344039414,0.8550074619733684,0.6245457854981168,0.6178843768207778,0.2610373023392539,0.25533487964636803,0.2531632121399935,0.24455953475131048,0.2400383914811288,-0.23615670054870902,0.22759378255916132,-0.2240984036392256,-0.22244395250758228,0.22049055826854502
target_pop_change_3y_avg_winsor_1_99,0.9899579451160592,1.0,0.840236542595941,0.8549773402507855,0.6190114171549149,0.6049381845938806,0.25807090766880914,0.26259274996649323,0.2576524439245985,0.2404838367618869,0.24290290086755498,-0.23085186075375858,0.22980736014382078,-0.23685535445360126,-0.23517086276821783,0.2271418439692628
target_pop_change_2y_avg,0.8590973344039414,0.840236542595941,1.0,0.9810690898549366,0.7545517986783626,0.7662179294503795,0.23803430603623077,0.191437305069883,0.23784116227771035,0.24141300037135496,0.22427785626591637,-0.1794938136692776,0.137295549520378,-0.20265374671873382,-0.19467055745620898,0.18489208934677287
target_pop_change_2y_avg_winsor_1_99,0.8550074619733684,0.8549773402507855,0.9810690898549366,1.0,0.7530457616922207,0.7420837156412107,0.24073109357122094,0.20171809268986568,0.24958502942106742,0.2424774817373737,0.21641855616516395,-0.17837997984207896,0.1354523824148977,-0.21924724466241718,-0.21295963230197298,0.19641004492311484
target_pop_change_1y_winsor_1_99,0.6245457854981168,0.6190114171549149,0.7545517986783626,0.7530457616922207,1.0,0.9750386829093699,0.3057112389155572,0.21535831164125832,0.22494036673390888,0.3728461116208643,0.21670371982040615,-0.1391082045133444,0.032794482732206046,-0.1558275937544364,-0.16148709774997413,0.21869548648896453
target_pop_change_1y,0.6178843768207778,0.6049381845938806,0.7662179294503795,0.7420837156412107,0.9750386829093699,1.0,0.28319454557627644,0.18962794691725185,0.20566747696394852,0.34072587940972143,0.20595989098452339,-0.1305003252934693,0.02761977771299556,-0.13433115966406375,-0.141457392330037,0.19341498721865655
quake_count_100km,0.2610373023392539,0.25807090766880914,0.23803430603623077,0.24073109357122094,0.3057112389155572,0.28319454557627644,1.0,0.44292159888324084,0.5075472548654587,0.9133143187004102,0.24886955977525876,-0.2964264347119187,0.49088722118808137,-0.18917834437502515,-0.20724315339543886,0.3024198511435675
lag_storm_count_200km,0.25533487964636803,0.26259274996649323,0.191437305069883,0.20171809268986568,0.21535831164125832,0.18962794691725185,0.44292159888324084,1.0,0.21380143528005238,0.35681232569083826,0.24563772376048815,-0.2325444241252825,0.4065105995513441,-0.28559529655507515,-0.32722040245605644,0.7996714379843154
max_seismic_mag,0.2531632121399935,0.2576524439245985,0.23784116227771035,0.24958502942106742,0.22494036673390888,0.20566747696394852,0.5075472548654587,0.21380143528005238,1.0,0.574773397051611,0.10718591051164797,-0.15924632925297097,0.35492415514118064,-0.05220908678059482,-0.0644432439691489,0.08125407196016804
quake_count_mag35_100km,0.24455953475131048,0.2404838367618869,0.24141300037135496,0.2424774817373737,0.3728461116208643,0.34072587940972143,0.9133143187004102,0.35681232569083826,0.574773397051611,1.0,0.197027097285492,-0.21973556463266788,0.33712953631809517,-0.14218780235172726,-0.15255486441326763,0.2516022177638071
lag_establishment_growth,0.2400383914811288,0.24290290086755498,0.22427785626591637,0.21641855616516395,0.21670371982040615,0.20595989098452339,0.24886955977525876,0.24563772376048815,0.10718591051164797,0.197027097285492,1.0,-0.22368326865411003,0.2976409548439999,-0.18409069546226678,-0.19998907859634116,0.2959686540721583
svi_composite_z15,-0.23615670054870902,-0.23085186075375858,-0.1794938136692776,-0.17837997984207896,-0.1391082045133444,-0.1305003252934693,-0.2964264347119187,-0.2325444241252825,-0.15924632925297097,-0.21973556463266788,-0.22368326865411003,1.0,-0.4986638326839251,-0.03313547496348773,-0.032611744957804265,-0.1855428046279856
establishments_pct_micro,0.22759378255916132,0.22980736014382078,0.137295549520378,0.1354523824148977,0.032794482732206046,0.02761977771299556,0.49088722118808137,0.4065105995513441,0.35492415514118064,0.33712953631809517,0.2976409548439999,-0.4986638326839251,1.0,-0.15832147888751144,-0.16668674101615874,0.20248363371439282
violent_crime_rate,-0.2240984036392256,-0.23685535445360126,-0.20265374671873382,-0.21924724466241718,-0.1558275937544364,-0.13433115966406375,-0.18917834437502515,-0.28559529655507515,-0.05220908678059482,-0.14218780235172726,-0.18409069546226678,-0.03313547496348773,-0.15832147888751144,1.0,0.9778944383463015,-0.3851689135677116
robbery_rate,-0.22244395250758228,-0.23517086276821783,-0.19467055745620898,-0.21295963230197298,-0.16148709774997413,-0.141457392330037,-0.20724315339543886,-0.32722040245605644,-0.0644432439691489,-0.15255486441326763,-0.19998907859634116,-0.032611744957804265,-0.16668674101615874,0.9778944383463015,1.0,-0.4143344081250879
lag_pr_annual_storm_count,0.22049055826854502,0.2271418439692628,0.18489208934677287,0.19641004492311484,0.21869548648896453,0.19341498721865655,0.3024198511435675,0.7996714379843154,0.08125407196016804,0.2516022177638071,0.2959686540721583,-0.1855428046279856,0.20248363371439282,-0.3851689135677116,-0.4143344081250879,1.0
