feature_group,n_features,avg_abs_correlation_with_target,max_abs_correlation_with_target
population_dynamics,18,0.26663328048566737,0.9899579451160592
crime,11,0.12676477604106864,0.22409840363922565
disaster,49,0.12145976933267849,0.2610373023392539
svi,18,0.10262420916943615,0.23615670054870896
economic_labor_business,31,0.08459358510386794,0.2400383914811288
