municipio,region,year,total_population,policy_package,predicted_target,baseline_predicted_target,delta_vs_baseline_target_units,approx_retained_residents
Catano,Metro,2024,22467.0,retention_bundle,-1.5417118302888877,-1.9630459682404542,0.4213341379515665,94.66114077357845
Cayey,Central Mountains,2024,40917.0,retention_bundle,-1.040120628871068,-1.4614547668226348,0.4213341379515667,172.39728922564254
Ceiba,East,2024,10995.0,retention_bundle,-1.4620226963399274,-1.8833568342914937,0.42133413795156627,46.32568846777471
Ciales,Central Mountains,2024,16805.0,retention_bundle,-0.7561949243804913,-1.1775290623320578,0.4213341379515665,70.80520188276076
Cidra,Central Mountains,2024,39643.0,retention_bundle,-0.6571598886425085,-1.0784940265940748,0.42133413795156627,167.02949230813942
Coamo,South,2024,33998.0,retention_bundle,-1.1255665663208188,-1.5469007042723855,0.4213341379515667,143.24518022077365
Comerio,Central Mountains,2024,18711.0,retention_bundle,-0.6846218279061379,-1.1059559658577043,0.4213341379515664,78.83583055211759
Corozal,Central Mountains,2024,34444.0,retention_bundle,-0.5100213126615418,-0.9313554506131083,0.4213341379515665,145.12433047603758
Culebra,East,2024,1387.0,retention_bundle,1.9120772981140732,1.4907431601625067,0.4213341379515665,5.843904493388227
Dorado,North,2024,35810.0,retention_bundle,-0.4167478789482665,-0.838082016899833,0.4213341379515665,150.87975480045597
Fajardo,East,2024,31489.0,retention_bundle,-1.1251221013789097,-1.5464562393304762,0.4213341379515665,132.6739066995688
Florida,North,2024,11532.0,retention_bundle,-0.7692087787022122,-1.1905429166537786,0.4213341379515665,48.58825278857465
Guanica,West,2024,12855.0,retention_bundle,-3.005001981853666,-3.4263361198052333,0.4213341379515674,54.16250343367399
Guayama,South,2024,35298.0,retention_bundle,-1.728655677208667,-2.1499898151602332,0.42133413795156627,148.72252401414386
Guayanilla,South,2024,17141.0,retention_bundle,-1.6901407142106102,-2.1114748521621767,0.4213341379515665,72.22088458627802
Guaynabo,Metro,2024,89378.0,retention_bundle,-0.5623802643100249,-0.9837144022615913,0.4213341379515665,376.58002581835115
Gurabo,East,2024,40228.0,retention_bundle,-0.7285092841673528,-1.1498434221189198,0.42133413795156693,169.49429701515635
Hatillo,North,2024,38157.0,retention_bundle,-0.6514755605983502,-1.0728096985499167,0.4213341379515665,160.76846701817925
Hormigueros,West,2024,15441.0,retention_bundle,-0.7772887671233086,-1.1986229050748753,0.4213341379515667,65.05820424110141
Humacao,East,2024,50100.0,retention_bundle,-0.9719507562552723,-1.3932848942068388,0.4213341379515665,211.0884031137348
Isabela,West,2024,42890.0,retention_bundle,-0.411411231946188,-0.8327453698977545,0.4213341379515665,180.71021176742687
Jayuya,Central Mountains,2024,14566.0,retention_bundle,-0.9339768921359572,-1.3553110300875235,0.42133413795156627,61.37153053402514
Juana Diaz,South,2024,46156.0,retention_bundle,-0.646826337732678,-1.0681604756842442,0.42133413795156627,194.47098471292492
Juncos,East,2024,36829.0,retention_bundle,-0.5584716420457332,-0.9798057799972995,0.42133413795156627,155.17314966618233
Lajas,West,2024,23035.0,retention_bundle,-0.7934818725740531,-1.2148160105256196,0.4213341379515665,97.05431867714334
Lares,Central Mountains,2024,27855.0,retention_bundle,-0.7215492572870181,-1.142883395238585,0.42133413795156693,117.36262412640897
Las Marias,West,2024,8744.0,retention_bundle,-0.9102098623150059,-1.3315440002665724,0.4213341379515665,36.841457022484974
Las Piedras,East,2024,34951.0,retention_bundle,-0.6123301849539469,-1.0336643229055134,0.4213341379515665,147.26049455545203
Loiza,East,2024,22768.0,retention_bundle,-1.901775789903717,-2.323109927855284,0.4213341379515667,95.9293565288127
Luquillo,East,2024,17532.0,retention_bundle,-0.8711988655749056,-1.2925330035264722,0.4213341379515666,73.86830106566866
Manati,North,2024,38943.0,retention_bundle,-0.8739994509330431,-1.2953335888846096,0.4213341379515665,164.08015334247855
Maricao,West,2024,4988.0,retention_bundle,-2.2638810523659547,-2.685215190317521,0.4213341379515665,21.01614680102414
Maunabo,East,2024,10399.0,retention_bundle,-1.0822266847398458,-1.5035608226914126,0.4213341379515667,43.81453700558342
Mayaguez,West,2024,70828.0,retention_bundle,-1.5552246813612964,-1.9765588193128631,0.4213341379515667,298.42254322833566
Moca,West,2024,37424.0,retention_bundle,-0.445447416588882,-0.8667815545404485,0.4213341379515665,157.68008778699425
Morovis,Central Mountains,2024,28397.0,retention_bundle,-0.8232529008831273,-1.2445870388346936,0.42133413795156627,119.64625515410627
Naguabo,East,2024,23054.0,retention_bundle,-0.9047114304658526,-1.3260455684174184,0.4213341379515658,97.13437216335399
Naranjito,Central Mountains,2024,29310.0,retention_bundle,-0.25727936925060635,-0.6786135072021733,0.42133413795156693,123.49303583360428
Orocovis,Central Mountains,2024,21309.0,retention_bundle,-0.6065234697330342,-1.0278576076846007,0.4213341379515665,89.78209145609931
Patillas,South,2024,15563.0,retention_bundle,-1.3934937508536156,-1.8148278888051819,0.42133413795156627,65.57223188940226
Penuelas,South,2024,19853.0,retention_bundle,-1.39843058594385,-1.8197647238954164,0.4213341379515665,83.6474664075245
Ponce,South,2024,132760.0,retention_bundle,-1.633573240642082,-2.054907378593648,0.42133413795156605,559.3632015444991
Quebradillas,North,2024,23409.0,retention_bundle,-0.6989668265703253,-1.1203009645218918,0.4213341379515665,98.6301083530822
Rincon,West,2024,15378.0,retention_bundle,0.09056012185786222,-0.3307740160937047,0.42133413795156693,64.79276373419196
Rio Grande,East,2024,46051.0,retention_bundle,-1.159181549610956,-1.5805156875625228,0.4213341379515667,194.02858386807597
