feature,in_latest_frame,active_in_model,coefficient,mean,std,min,max
natural_change_rate_pr_lag1,True,True,-0.08162353338888308,-4.899999999999998,2.681781622052507e-15,-4.9,-4.9
target_pop_change_3y_avg_lag1,True,True,0.6860984960394125,-0.3656642023253173,1.990365435355714,-5.710045805925013,3.8568201638490502
target_pop_change_3y_avg_yoy_change,True,True,0.67808201478604,-0.41129372826634636,1.6849246973682936,-4.138833584251899,4.604735342656396
birth_rate_pr_lag1,True,False,-0.0,5.8,0.0,5.8,5.8
death_rate_pr_lag1,True,False,0.0,10.700000000000005,5.363563244105014e-15,10.7,10.7
establishment_growth,True,False,0.0,6.249290601718193,4.984068337532887,-8.333333333333337,17.117117117117118
income_growth,True,False,0.0,9.917867841365489,4.783587374163713,-2.9774828280741517,23.23684353445934
lag_total_crime_rate,True,False,-0.0,107.29655212912475,55.15814265874441,0.0,319.135878237388
natural_change_rate_pr_roll3_mean,True,False,0.0,-4.646666666666666,8.939272073508357e-16,-4.6466666666666665,-4.6466666666666665
svi_pca_1,True,False,0.0,-2.497374052935104,1.4003410696708982,-7.70659209729368,-0.0809093630734857
