policy_package,mean_predicted_target,mean_delta_vs_baseline,approx_retained_residents,municipalities
retention_bundle,-0.9292716880427931,0.42133413795156655,13627.247943839931,78
jobs_push,-1.0559423381240038,0.2946634878703556,9530.327707904818,78
public_safety,-1.148702412778202,0.20190341321615754,6530.180264957372,78
resilience_and_vulnerability,-1.1738077332721462,0.17679809272221342,5718.1966247428945,78
family_demography_support,-1.3330785144751083,0.017527311519251264,566.8874139251797,78
baseline,-1.3506058259943596,0.0,0.0,78
