year,municipio,geoid,total_population,total_population_moe,total_population_16plus,total_population_16plus_moe,total_housing_units,total_housing_units_moe,unemployment_rate_pct,unemployment_rate_moe,labor_force_participation_pct,labor_force_participation_moe,median_income_nominal,median_income_real,median_income_moe,cpi,total_population_25plus,hs_graduate_pct,hs_graduate_count,hs_graduate_moe,bachelors_plus_pct,bachelors_count,doctorate_count,doctorate_moe,establishment_count,uninsured_pct,uninsured_moe
2012,Culebra Municipio,72049,1535.0,272.0,1240.0,235.0,1207.0,89.0,9.0,9.7,50.2,8.4,16375.0,22965.05,3172.0,229.59,1043.0,32.3,318.0,88.76936408468859,560.0,59.0,0.0,13.0,29.0,,
2012,Dorado Municipio,72051,38179.0,0.0,29481.0,125.0,15225.0,190.0,15.4,2.4,51.8,1.7,28530.0,40011.77,1876.0,229.59,24837.0,28.7,6463.0,568.9604555678716,11612.0,4561.0,125.0,67.0,422.0,,
2012,Fajardo Municipio,72053,36857.0,0.0,28838.0,127.0,17870.0,237.0,19.2,2.4,50.0,1.7,21194.0,29723.43,1326.0,229.59,24017.0,34.1,7275.0,489.26168866977514,10838.0,3890.0,106.0,67.0,519.0,,
2012,Florida Municipio,72054,12657.0,0.0,9786.0,89.0,4751.0,128.0,15.3,4.1,40.4,4.3,16150.0,22649.5,1792.0,229.59,8051.0,39.2,3067.0,457.4986338777418,3752.0,622.0,30.0,37.0,60.0,,
2012,Guayama Municipio,72057,45250.0,0.0,35138.0,132.0,18043.0,236.0,21.4,2.5,44.3,1.8,17496.0,24537.19,1321.0,229.59,29126.0,34.1,8808.0,555.9514367280653,14296.0,4651.0,167.0,114.0,483.0,,
2012,Guayanilla Municipio,72059,21493.0,0.0,16656.0,96.0,8246.0,135.0,27.1,3.4,37.6,2.2,14679.0,20586.5,1315.0,229.59,13877.0,30.2,3878.0,352.4826236851967,6554.0,1766.0,67.0,61.0,86.0,,
2012,Guaynabo Municipio,72061,97639.0,0.0,79414.0,199.0,38799.0,306.0,15.2,1.2,57.8,0.9,34638.0,48577.91,1731.0,229.59,67832.0,18.7,12026.0,745.4891011946453,31007.0,17812.0,1128.0,214.0,2013.0,,
2012,Gurabo Municipio,72063,45540.0,0.0,35023.0,169.0,15880.0,252.0,13.1,2.2,55.1,2.1,27817.0,39011.83,2312.0,229.59,29509.0,22.2,6177.0,556.7854164756832,13760.0,6523.0,201.0,116.0,308.0,,
2012,Guánica Municipio,72055,19363.0,0.0,15127.0,86.0,9021.0,122.0,33.0,4.2,40.1,2.6,13567.0,19026.98,1213.0,229.59,12722.0,33.3,3978.0,442.3324541563732,5969.0,1488.0,25.0,20.0,93.0,,
2012,Hatillo Municipio,72065,41945.0,0.0,33072.0,134.0,15703.0,189.0,20.1,3.1,46.1,2.1,18669.0,26182.26,922.0,229.59,27759.0,24.6,6214.0,552.8001447177813,12997.0,4035.0,221.0,138.0,520.0,,
2012,Hormigueros Municipio,72067,17217.0,0.0,14028.0,78.0,7216.0,128.0,14.2,3.3,43.8,2.0,20428.0,28649.16,1789.0,229.59,12156.0,31.7,3422.0,297.88924116187883,5415.0,2084.0,127.0,74.0,182.0,,
2012,Humacao Municipio,72069,58333.0,0.0,46310.0,178.0,25192.0,238.0,17.0,2.0,43.7,1.6,19918.0,27933.91,1176.0,229.59,38665.0,33.1,11931.0,680.7525247841538,17762.0,5163.0,324.0,165.0,810.0,,
